,Num,Dnum,ROISRE,ROILRE,ROIGLN,ROIRLN,ROIRP,ROILGRE,ROIHGRE,ROISRLGE,ROISRHGE,ROILRLGE,ROILRHGE,ROIGLV,ROIRLV,LLLSRE,LLLLRE,LLLGLN,LLLRLN,LLLRP,LLLLGRE,LLLHGRE,LLLSRLGE,LLLSRHGE,LLLLRLGE,LLLLRHGE,LLLGLV,LLLRLV,LLHSRE,LLHLRE,LLHGLN,LLHRLN,LLHRP,LLHLGRE,LLHHGRE,LLHSRLGE,LLHSRHGE,LLHLRLGE,LLHLRHGE,LLHGLV,LLHRLV,LHLSRE,LHLLRE,LHLGLN,LHLRLN,LHLRP,LHLLGRE,LHLHGRE,LHLSRLGE,LHLSRHGE,LHLLRLGE,LHLLRHGE,LHLGLV,LHLRLV,LHHSRE,LHHLRE,LHHGLN,LHHRLN,LHHRP,LHHLGRE,LHHHGRE,LHHSRLGE,LHHSRHGE,LHHLRLGE,LHHLRHGE,LHHGLV,LHHRLV,HLLSRE,HLLLRE,HLLGLN,HLLRLN,HLLRP,HLLLGRE,HLLHGRE,HLLSRLGE,HLLSRHGE,HLLLRLGE,HLLLRHGE,HLLGLV,HLLRLV,HLHSRE,HLHLRE,HLHGLN,HLHRLN,HLHRP,HLHLGRE,HLHHGRE,HLHSRLGE,HLHSRHGE,HLHLRLGE,HLHLRHGE,HLHGLV,HLHRLV,HHLSRE,HHLLRE,HHLGLN,HHLRLN,HHLRP,HHLLGRE,HHLHGRE,HHLSRLGE,HHLSRHGE,HHLLRLGE,HHLLRHGE,HHLGLV,HHLRLV,HHHSRE,HHHLRE,HHHGLN,HHHRLN,HHHRP,HHHLGRE,HHHHGRE,HHHSRLGE,HHHSRHGE,HHHLRLGE,HHHLRHGE,HHHGLV,HHHRLV
0,1,1,0.833401,2.122845,0.115925,0.648961,0.772421,0.022101,76.882333,0.018949,65.696602,0.042679,151.328929,0.034222,0.000558,0.809815,2.46525,0.107175,0.610415,0.735252,0.024635,74.510599,0.020674,62.186313,0.053419,168.802219,0.023961,0.000409,0.867298,1.797781,0.126408,0.708181,0.820657,0.023437,80.63787,0.021274,70.059468,0.036113,144.024134,0.036226,0.000495,0.88121,1.723763,0.126257,0.73446,0.835032,0.028416,80.977168,0.026399,71.548747,0.039942,138.464434,0.048957,0.000667,0.894738,1.589263,0.119143,0.760254,0.856266,0.023121,79.291783,0.021323,71.428152,0.032743,123.536265,0.050586,0.000724,0.890504,1.633372,0.130864,0.75207,0.84948,0.02486,76.743466,0.022985,68.602411,0.035352,123.607071,0.056481,0.000799,0.912444,1.448099,0.119327,0.795535,0.882233,0.026321,75.910937,0.024739,69.633223,0.034147,107.867302,0.060701,0.000864,0.908929,1.493745,0.124305,0.788654,0.875189,0.023697,79.657751,0.022307,72.608362,0.031108,117.956687,0.046781,0.00063,0.923294,1.375366,0.117317,0.818004,0.897556,0.021942,79.324956,0.020715,73.549024,0.027861,107.478983,0.065472,0.000873
1,2,3,0.801449,2.62772,0.115287,0.597213,0.722443,0.022991,75.375575,0.018704,62.349919,0.059214,172.206608,0.018459,0.000325,0.756815,3.531899,0.117849,0.530467,0.653858,0.018733,81.583333,0.014219,64.241245,0.067959,242.978381,0.011676,0.000202,0.86018,1.897603,0.125506,0.695533,0.807535,0.024404,78.338698,0.021966,67.538161,0.039061,147.544815,0.02507,0.000363,0.853722,2.013334,0.142112,0.684296,0.794273,0.024203,78.127765,0.021871,66.954823,0.039515,155.428166,0.022861,0.000345,0.875053,1.75989,0.140474,0.722777,0.8279,0.02154,77.032407,0.019584,67.785454,0.033125,133.0072,0.034702,0.000516,0.871913,1.807975,0.129618,0.717014,0.822253,0.023609,78.128367,0.021472,68.375663,0.036488,139.355637,0.028211,0.000408,0.889512,1.631946,0.129249,0.750103,0.84886,0.022543,77.757494,0.020772,69.524584,0.032401,124.562035,0.031218,0.00045,0.892924,1.616818,0.127258,0.75682,0.852585,0.022167,77.823105,0.020447,69.853212,0.031851,123.5204,0.028869,0.000416,0.90088,1.534168,0.124249,0.772254,0.865756,0.022645,77.886405,0.021073,70.50265,0.030943,117.456563,0.039921,0.000562
2,3,4,0.869346,1.746019,0.122243,0.711779,0.825979,0.026146,80.323673,0.023779,69.789254,0.038965,140.171962,0.046329,0.000636,0.841225,2.023281,0.120078,0.66214,0.785511,0.024742,79.256797,0.022085,66.470808,0.041098,161.143497,0.036997,0.000533,0.884344,1.631458,0.124507,0.739819,0.845708,0.024595,78.293825,0.022583,69.337018,0.035148,127.047502,0.054508,0.000749,0.892955,1.593707,0.123823,0.75656,0.855165,0.022036,77.30197,0.020266,69.33005,0.031803,121.016896,0.047581,0.000676,0.907132,1.497894,0.124089,0.784949,0.873397,0.022182,77.949521,0.020633,71.018726,0.030205,115.144475,0.044971,0.000626,0.903163,1.537248,0.121114,0.77695,0.867256,0.023328,78.693817,0.021771,71.231989,0.031794,119.978567,0.044399,0.000605,0.916871,1.427681,0.120051,0.804795,0.88734,0.024316,77.915032,0.022915,71.79376,0.031353,109.291358,0.06453,0.000878,0.912958,1.465401,0.118883,0.796765,0.881077,0.02314,78.619196,0.021711,72.126251,0.030652,113.246102,0.04424,0.000607,0.919599,1.39953,0.117271,0.810261,0.892381,0.022418,78.078203,0.021092,72.190967,0.0289,107.226658,0.062571,0.000863
3,4,5,0.78677,2.593085,0.132398,0.574764,0.716206,0.020574,73.618571,0.016281,60.24357,0.052677,169.705942,0.018511,0.000356,0.73473,3.461759,0.130262,0.500509,0.644995,0.018458,79.381233,0.013452,61.878308,0.065544,233.480481,0.014645,0.000288,0.855402,1.912842,0.132853,0.686935,0.802789,0.02373,78.983783,0.021414,67.813489,0.037714,149.315677,0.027882,0.000409,0.845377,2.060965,0.154616,0.669505,0.785816,0.021625,77.900474,0.019252,66.131792,0.03719,158.737502,0.020981,0.000324,0.873966,1.757526,0.145983,0.720697,0.827299,0.022009,76.650522,0.02001,67.352156,0.033694,132.191658,0.04258,0.000635,0.879387,1.753473,0.127767,0.731041,0.831691,0.022955,78.370988,0.020952,69.305623,0.034989,134.714688,0.030129,0.000436,0.894227,1.585468,0.126981,0.759121,0.856511,0.022705,77.266205,0.02102,69.38258,0.031809,120.719126,0.043844,0.000625,0.893459,1.619138,0.12606,0.75791,0.852796,0.021702,78.119231,0.020002,70.124798,0.031338,124.450247,0.039535,0.000562,0.902354,1.52915,0.124523,0.775278,0.867145,0.022873,77.825078,0.021336,70.543198,0.031029,117.220162,0.049457,0.00069
4,5,6,0.792261,2.543439,0.110674,0.583068,0.722428,0.02247,85.675295,0.01897,66.167645,0.046358,236.48649,0.021917,0.000295,0.762726,3.100841,0.104258,0.539256,0.676332,0.020866,92.970171,0.017199,68.164204,0.049685,324.893842,0.014865,0.000198,0.862447,1.81744,0.123464,0.699316,0.815616,0.023027,77.910871,0.020616,67.549759,0.036836,139.082734,0.02772,0.000411,0.869504,1.791787,0.131968,0.712326,0.822185,0.020718,77.513551,0.018616,67.708996,0.033149,136.780185,0.026524,0.000391,0.897874,1.548464,0.122185,0.766166,0.862543,0.022007,77.946973,0.020354,70.309199,0.03069,118.759008,0.043,0.000605,0.873045,1.786005,0.128376,0.719002,0.824996,0.022672,77.92147,0.020555,68.400614,0.035342,136.60961,0.024518,0.000358,0.892141,1.59721,0.12854,0.75505,0.853897,0.021928,77.773649,0.020216,69.702314,0.031188,122.320395,0.044281,0.00063,0.899597,1.565832,0.120418,0.769897,0.862012,0.022125,78.280689,0.020511,70.704015,0.031066,120.824444,0.024979,0.000351,0.904767,1.50042,0.121658,0.779928,0.871788,0.022033,78.043997,0.020523,70.938818,0.029829,115.190187,0.048708,0.000677
5,6,7,0.819614,2.259189,0.131532,0.626133,0.756397,0.019633,76.877823,0.016349,64.43549,0.042698,159.545655,0.020275,0.000343,0.783537,2.802909,0.129371,0.569829,0.703448,0.0198,76.99318,0.015869,61.992259,0.052962,194.035893,0.016439,0.00029,0.864506,1.79216,0.129272,0.703,0.81902,0.023511,78.430082,0.021142,68.011134,0.036664,139.285,0.038303,0.00055,0.876767,1.739695,0.128279,0.725806,0.831518,0.023212,78.108845,0.021178,68.577392,0.034878,135.319207,0.028718,0.000408,0.900173,1.532374,0.122283,0.77071,0.865674,0.021641,77.946984,0.020014,70.505758,0.030151,117.335664,0.043149,0.000608,0.870137,1.821294,0.135886,0.713638,0.820567,0.021409,77.697047,0.01932,67.836136,0.034173,139.846359,0.016831,0.000247,0.889858,1.613645,0.134776,0.750627,0.850827,0.021499,77.574566,0.019771,69.372801,0.030919,123.061541,0.041671,0.000601,0.897237,1.586602,0.125246,0.765247,0.858494,0.022533,78.27782,0.02085,70.61216,0.031953,121.810971,0.036367,0.000515,0.900738,1.530163,0.127823,0.771917,0.866048,0.021793,77.924432,0.020232,70.501024,0.029952,117.468616,0.050402,0.000709
6,7,8,0.79728,2.482059,0.109619,0.590863,0.729601,0.021806,79.031766,0.017889,63.152599,0.049789,192.994016,0.016837,0.000261,0.753898,3.161469,0.109726,0.527181,0.670072,0.021807,79.533143,0.016938,60.188078,0.063436,243.967685,0.013062,0.000215,0.867568,1.775064,0.120837,0.708596,0.822417,0.023271,78.528063,0.020957,68.337674,0.036228,137.992351,0.026461,0.000379,0.876581,1.750576,0.124491,0.725525,0.830426,0.022709,77.98337,0.02062,68.680376,0.034949,134.345778,0.027442,0.000395,0.896409,1.563027,0.1212,0.763344,0.860082,0.022404,78.049071,0.020721,70.289421,0.031333,120.034423,0.042438,0.000597,0.883835,1.708502,0.120692,0.739357,0.838767,0.023246,78.056744,0.021274,69.296945,0.034875,131.250799,0.021379,0.000306,0.894239,1.581172,0.122956,0.759116,0.856887,0.021849,77.910434,0.020128,70.028207,0.03107,121.037926,0.03863,0.000549,0.89907,1.582099,0.119573,0.768934,0.860307,0.022171,78.101314,0.020519,70.508986,0.031514,121.748083,0.019882,0.000282,0.905348,1.501187,0.119868,0.781166,0.872047,0.022179,78.128879,0.020668,71.039479,0.030018,115.509347,0.048158,0.000667
7,8,9,0.867164,1.738301,0.107013,0.707644,0.825497,0.021978,78.573725,0.019431,68.055135,0.035788,137.307359,0.036069,0.000499,0.840558,1.980772,0.106941,0.660884,0.789145,0.021377,79.813956,0.018324,67.013058,0.039602,158.525822,0.025918,0.000369,0.892031,1.56546,0.111439,0.754424,0.857388,0.022376,78.924412,0.020407,70.681428,0.032416,121.905457,0.049599,0.000676,0.898396,1.554529,0.11331,0.767263,0.862478,0.023058,78.366723,0.02127,70.626577,0.032605,120.554483,0.025166,0.000351,0.907221,1.478804,0.115862,0.784755,0.875804,0.022055,78.179661,0.02051,71.252899,0.029875,113.755441,0.05289,0.000727,0.891813,1.609895,0.120147,0.754448,0.852725,0.023562,78.417208,0.021709,70.125894,0.03358,125.258304,0.042652,0.000586,0.908169,1.474518,0.118029,0.786693,0.8769,0.022701,78.361688,0.02121,71.449239,0.030277,113.909017,0.048174,0.000661,0.909822,1.47883,0.115132,0.790279,0.877487,0.022782,78.326802,0.02128,71.515236,0.030633,114.432967,0.038524,0.000529,0.912555,1.446659,0.116758,0.79573,0.882523,0.023274,77.991936,0.021856,71.455044,0.030372,111.279824,0.054142,0.00074
8,9,10,0.811896,2.340302,0.133475,0.613657,0.746023,0.017188,79.136263,0.01364,66.959028,0.043535,160.352453,0.022944,0.000394,0.789077,2.670117,0.127425,0.578196,0.713406,0.019422,73.699264,0.014749,61.202924,0.05827,164.900253,0.018134,0.000343,0.863279,1.828484,0.124106,0.700921,0.814996,0.025129,79.456015,0.022858,68.614667,0.038217,145.062926,0.025545,0.000362,0.88138,1.717662,0.126319,0.734665,0.836078,0.023558,78.892115,0.021621,69.661776,0.034768,134.584583,0.030926,0.000432,0.895106,1.57372,0.12606,0.760786,0.858237,0.022125,77.396995,0.020443,69.607147,0.031127,119.750795,0.036035,0.000518,0.877349,1.760831,0.129064,0.727104,0.829926,0.023365,78.396225,0.021404,68.946472,0.034967,137.088092,0.028893,0.00041,0.886437,1.648347,0.133853,0.744101,0.845404,0.020911,77.057633,0.019131,68.694013,0.030867,124.523777,0.044626,0.000651,0.892963,1.61818,0.12889,0.756922,0.852476,0.021373,77.623091,0.019708,69.648262,0.03083,123.477001,0.03389,0.000487,0.893944,1.588657,0.135313,0.758679,0.855666,0.020701,77.169182,0.019075,69.315981,0.029552,120.622031,0.051742,0.000743
9,10,11,0.784285,2.756043,0.111463,0.571017,0.706692,0.019835,80.126734,0.015548,63.75215,0.05801,206.443389,0.010708,0.00017,0.738097,3.52447,0.111669,0.505187,0.64529,0.019739,80.270802,0.014521,59.974039,0.073818,267.963234,0.009831,0.000169,0.864843,1.815473,0.122215,0.703738,0.817211,0.023599,78.385407,0.021264,67.938247,0.036976,141.338747,0.024732,0.000357,0.870634,1.82561,0.126981,0.714654,0.82019,0.02207,78.029063,0.019979,68.194293,0.034893,140.600844,0.016377,0.00024,0.89203,1.609989,0.123752,0.754951,0.852604,0.022124,78.095652,0.0204,70.029318,0.031618,123.441234,0.035219,0.000504,0.876426,1.778193,0.12306,0.725427,0.827922,0.023158,78.287664,0.021119,68.873898,0.035497,137.470409,0.018423,0.000266,0.894043,1.592743,0.123435,0.758843,0.855603,0.022449,77.997473,0.020742,70.102053,0.031742,121.943756,0.038775,0.00055,0.890641,1.655588,0.124452,0.752566,0.847561,0.022328,77.944512,0.020564,69.793547,0.032638,126.550688,0.026346,0.000379,0.901206,1.53774,0.122553,0.772971,0.865599,0.022094,78.098289,0.020527,70.741146,0.030437,117.936982,0.033239,0.000469
