,Num,Dnum,ROIGEnergy,ROIGContrast,ROIGEntropy,ROIGHomogeneity1,ROIGHomogeneity2,ROIGCorrelation,ROIGSumAverage,ROIGVariance,ROIGDissimilarity,ROIGAutoCorrelation,ROIGCorrelation1,LLLGEnergy,LLLGContrast,LLLGEntropy,LLLGHomogeneity1,LLLGHomogeneity2,LLLGCorrelation,LLLGSumAverage,LLLGVariance,LLLGDissimilarity,LLLGAutoCorrelation,LLLGCorrelation1,LLHGEnergy,LLHGContrast,LLHGEntropy,LLHGHomogeneity1,LLHGHomogeneity2,LLHGCorrelation,LLHGSumAverage,LLHGVariance,LLHGDissimilarity,LLHGAutoCorrelation,LLHGCorrelation1,LHLGEnergy,LHLGContrast,LHLGEntropy,LHLGHomogeneity1,LHLGHomogeneity2,LHLGCorrelation,LHLGSumAverage,LHLGVariance,LHLGDissimilarity,LHLGAutoCorrelation,LHLGCorrelation1,LHHGEnergy,LHHGContrast,LHHGEntropy,LHHGHomogeneity1,LHHGHomogeneity2,LHHGCorrelation,LHHGSumAverage,LHHGVariance,LHHGDissimilarity,LHHGAutoCorrelation,LHHGCorrelation1,HLLGEnergy,HLLGContrast,HLLGEntropy,HLLGHomogeneity1,HLLGHomogeneity2,HLLGCorrelation,HLLGSumAverage,HLLGVariance,HLLGDissimilarity,HLLGAutoCorrelation,HLLGCorrelation1,HLHGEnergy,HLHGContrast,HLHGEntropy,HLHGHomogeneity1,HLHGHomogeneity2,HLHGCorrelation,HLHGSumAverage,HLHGVariance,HLHGDissimilarity,HLHGAutoCorrelation,HLHGCorrelation1,HHLGEnergy,HHLGContrast,HHLGEntropy,HHLGHomogeneity1,HHLGHomogeneity2,HHLGCorrelation,HHLGSumAverage,HHLGVariance,HHLGDissimilarity,HHLGAutoCorrelation,HHLGCorrelation1,HHHGEnergy,HHHGContrast,HHHGEntropy,HHHGHomogeneity1,HHHGHomogeneity2,HHHGCorrelation,HHHGSumAverage,HHHGVariance,HHHGDissimilarity,HHHGAutoCorrelation,HHHGCorrelation1
0,1,1,0.008352,13.54744,7.734186,0.414253,0.335589,0.656865,0.015523,0.019273,2.654651,265.633976,196880.923504,0.009031,9.8255,7.61033,0.447598,0.376002,0.76695,0.015132,0.020592,2.262685,256.287271,212271.841074,0.006484,23.74842,8.043817,0.362086,0.276666,0.402453,0.016474,0.01939,3.499714,292.544098,227962.163776,0.006481,32.540539,8.139465,0.342171,0.256293,0.207808,0.016461,0.020041,4.034643,288.37841,211157.659619,0.00543,44.485713,8.430606,0.31298,0.225827,0.101676,0.016177,0.024127,4.758036,276.861446,246066.884336,0.005654,34.763315,8.19978,0.320461,0.231901,0.101822,0.016093,0.018895,4.325737,273.534409,214457.526258,0.004486,43.041993,8.44584,0.286853,0.195075,0.040208,0.015799,0.021862,4.963891,262.610988,241959.654059,0.004916,39.906441,8.295965,0.294901,0.203775,0.012943,0.016348,0.019725,4.773976,280.489198,237579.892408,0.004048,45.843264,8.522738,0.268041,0.174565,-0.004824,0.01616,0.022268,5.272927,273.715886,272604.385722
1,2,3,0.00718,14.250076,7.951874,0.426731,0.352876,0.714756,0.015282,0.024384,2.64658,262.725682,251804.523706,0.009422,8.858777,7.570745,0.48473,0.422125,0.803739,0.01595,0.022037,2.056127,284.911553,256171.048538,0.006039,26.951995,8.24796,0.349077,0.263224,0.368615,0.016121,0.020839,3.759633,280.389797,229700.522976,0.008643,27.882726,7.898779,0.362585,0.279718,0.195743,0.016219,0.016926,3.692185,279.231321,166169.300942,0.006985,32.489145,8.029167,0.328662,0.240463,0.050513,0.016104,0.016709,4.150876,272.798805,178991.832181,0.00603,32.991948,8.242149,0.332296,0.245045,0.190376,0.016154,0.019896,4.146257,277.491521,214267.506187,0.005481,38.151258,8.295871,0.306078,0.215834,0.042683,0.016103,0.019461,4.582443,272.770592,216957.554975,0.005185,39.954851,8.332578,0.301016,0.210695,0.012376,0.016112,0.019752,4.708779,272.4469,226825.174789,0.004691,42.969913,8.430927,0.286664,0.194984,-0.011788,0.016102,0.020737,4.971356,271.627718,241875.381249
2,3,4,0.005364,21.288956,8.171216,0.352951,0.264514,0.487425,0.01652,0.020293,3.450182,296.317067,264389.928193,0.00619,15.313106,7.979812,0.395266,0.313392,0.629267,0.01644,0.020174,2.855393,296.407761,273962.854563,0.005181,26.81538,8.289459,0.331209,0.240963,0.371188,0.016227,0.020826,3.864793,284.018798,249649.689073,0.004872,33.999476,8.323041,0.315231,0.225433,0.162145,0.015939,0.019805,4.346832,269.672982,241092.746125,0.004833,38.504424,8.355852,0.294327,0.202355,0.058838,0.016097,0.019983,4.719767,272.921695,236685.225583,0.004348,41.547755,8.490331,0.298413,0.208546,0.079618,0.016177,0.022025,4.817142,276.186264,271560.596257,0.004159,47.693248,8.584272,0.27668,0.185063,-0.000831,0.015989,0.023291,5.260605,268.079494,266029.550153,0.003886,46.62355,8.582191,0.277644,0.187105,0.003676,0.016166,0.022834,5.241628,274.090201,290446.406822,0.003896,48.759665,8.614274,0.268733,0.176252,-0.01546,0.016055,0.02344,5.389874,269.903697,282615.27241
3,4,5,0.008857,11.034825,7.533995,0.441472,0.368683,0.693619,0.015061,0.017583,2.351304,250.345831,181178.680873,0.011325,7.331031,7.198396,0.498258,0.438614,0.790058,0.015537,0.017047,1.858938,266.90392,190396.97442,0.006975,24.561766,8.035561,0.358899,0.273455,0.33428,0.01629,0.018013,3.558553,284.4061,198602.319609,0.009387,22.880209,7.670661,0.371325,0.28803,0.199971,0.016309,0.013966,3.401097,281.778212,150162.578424,0.007594,29.622688,7.904646,0.333812,0.244991,0.073356,0.016092,0.015611,3.966199,272.699177,164641.442535,0.005609,35.060756,8.292693,0.322477,0.234864,0.141588,0.016136,0.019944,4.333422,275.901922,221339.59087,0.005102,38.085372,8.331975,0.299966,0.208853,0.048791,0.016079,0.019555,4.644703,272.090633,225570.408433,0.005128,40.112539,8.351916,0.300632,0.210516,0.017309,0.016169,0.019932,4.73386,274.494584,230818.289848,0.004766,41.599783,8.397971,0.286874,0.194598,-0.003305,0.016096,0.020246,4.906183,271.593863,235995.770348
4,5,6,0.006235,11.921373,7.926377,0.42628,0.35029,0.776593,0.017446,0.026054,2.496139,339.884017,394127.245935,0.006762,8.807933,7.805405,0.46262,0.394108,0.853136,0.01839,0.029277,2.123477,380.183421,510539.520589,0.005263,26.967786,8.31734,0.339493,0.250931,0.378901,0.016021,0.021199,3.815698,277.375634,247203.788949,0.005609,30.278549,8.198662,0.330453,0.241896,0.186816,0.01615,0.018179,4.052218,276.956176,219711.891494,0.004387,41.458226,8.487377,0.287851,0.195876,0.051224,0.016105,0.021337,4.897522,273.078638,257623.14106,0.005553,33.777845,8.282047,0.326687,0.23876,0.163656,0.016129,0.019722,4.227115,276.095088,224584.634209,0.005088,38.786723,8.337654,0.298114,0.206692,0.033336,0.016142,0.019591,4.685698,273.883164,226340.693474,0.004309,44.367316,8.512911,0.285915,0.194896,0.003687,0.016132,0.021743,5.045739,272.974599,265090.088039,0.00425,44.216119,8.502161,0.277765,0.185132,-0.010785,0.016117,0.021359,5.115068,272.150473,260156.320003
5,6,7,0.007648,14.625572,7.800499,0.404493,0.324688,0.611402,0.015958,0.018379,2.775317,278.519738,209133.023885,0.009238,10.171941,7.555281,0.451472,0.380677,0.724982,0.015928,0.018052,2.27254,279.409797,209976.537875,0.005751,26.957335,8.230283,0.342564,0.254456,0.341419,0.016168,0.019982,3.797418,281.089167,228905.405559,0.005261,34.013867,8.346166,0.324658,0.236774,0.197638,0.016158,0.0207,4.269872,277.954659,237805.499954,0.00436,41.948302,8.506112,0.289238,0.197699,0.056682,0.016097,0.02171,4.910904,272.960549,261342.922363,0.006242,31.675603,8.150265,0.336577,0.250064,0.143211,0.01617,0.018052,4.069525,276.801142,205877.482806,0.005685,36.435514,8.215,0.307106,0.216436,0.024211,0.016126,0.018234,4.499802,273.127147,207038.815854,0.004778,42.997959,8.441663,0.296121,0.206055,0.017773,0.016129,0.021375,4.875677,273.154996,245994.480874,0.004822,41.368197,8.381812,0.288424,0.19654,-0.01136,0.016144,0.019971,4.892963,273.047289,234238.067768
6,7,8,0.005443,11.725494,8.039344,0.419789,0.341646,0.771078,0.016244,0.025009,2.52387,296.43262,384031.889302,0.006784,7.606147,7.750205,0.469772,0.401783,0.852439,0.016265,0.025171,2.00824,299.373207,386366.559895,0.004851,28.475962,8.392346,0.331459,0.242227,0.361164,0.016174,0.021765,3.960564,282.372238,268619.693155,0.004959,34.931697,8.387802,0.319483,0.231024,0.175534,0.016121,0.020689,4.355862,276.231419,247596.973586,0.004363,42.498581,8.518175,0.289113,0.197887,0.052207,0.0161,0.021894,4.935886,272.97519,262390.527516,0.004528,38.891021,8.491294,0.309368,0.220724,0.134384,0.016108,0.021938,4.612853,275.08552,266653.119605,0.004579,41.869792,8.467939,0.292268,0.201277,0.037826,0.016103,0.021248,4.876559,272.718976,251533.167308,0.004198,45.068914,8.545075,0.286522,0.196292,0.006791,0.016111,0.022157,5.083432,272.310161,272256.32615,0.004102,45.917113,8.557477,0.275984,0.183919,-0.010825,0.016114,0.02218,5.205236,272.018528,271131.302392
7,8,9,0.003714,22.140979,8.486824,0.337772,0.246816,0.583265,0.016082,0.025939,3.624112,286.681139,398230.205946,0.004454,14.721779,8.261259,0.377863,0.291101,0.723461,0.016222,0.025974,2.940769,295.163829,402573.145953,0.003531,33.828583,8.655787,0.300497,0.207912,0.336516,0.016129,0.024894,4.482359,281.347312,346708.343613,0.003625,41.898994,8.680087,0.291043,0.200245,0.164808,0.016131,0.024494,4.909869,276.974868,326239.085559,0.003691,45.956751,8.654918,0.27567,0.183729,0.05004,0.016075,0.02362,5.218753,272.149891,302709.52855,0.004273,39.836184,8.540049,0.302224,0.212438,0.140057,0.016183,0.022624,4.720864,277.850115,282491.509228,0.003806,45.277035,8.627637,0.275496,0.183285,0.046524,0.016139,0.023183,5.195286,274.226219,293100.315089,0.003611,48.535769,8.683398,0.272651,0.181674,0.015321,0.0161,0.024068,5.369751,272.17831,311530.035039,0.003681,49.201865,8.669332,0.267119,0.175103,-0.006718,0.016075,0.023864,5.441696,270.777813,297165.214099
8,9,10,0.007901,14.569211,7.709416,0.412079,0.334525,0.627216,0.015639,0.019076,2.743586,268.697297,198457.234335,0.008183,10.746979,7.623833,0.441233,0.368351,0.744718,0.01483,0.020558,2.365534,246.303033,203126.299494,0.005614,27.156148,8.290998,0.344155,0.25727,0.375668,0.016375,0.021245,3.807622,289.343874,247934.007129,0.005288,35.77271,8.352562,0.319821,0.231514,0.153364,0.016276,0.020631,4.379313,281.028086,238437.713081,0.004903,39.815042,8.394487,0.297475,0.206498,0.048051,0.016046,0.020422,4.741838,270.992482,234273.537128,0.005698,34.677622,8.287094,0.325679,0.23831,0.149558,0.016232,0.01991,4.292727,279.337854,222545.060848,0.005735,35.926441,8.231482,0.311146,0.221237,0.055622,0.016047,0.018576,4.455764,271.060574,205635.923941,0.005183,39.389997,8.318637,0.3024,0.212651,0.005965,0.016123,0.019345,4.702425,272.707075,224122.791279,0.005675,37.068139,8.201273,0.301846,0.210466,-0.011178,0.016102,0.0179,4.58898,271.679945,202748.477839
9,10,11,0.005706,10.689757,7.987079,0.435626,0.360867,0.794307,0.016085,0.025376,2.387489,291.946963,379577.765437,0.007121,6.662707,7.687801,0.487496,0.423153,0.873381,0.016126,0.025692,1.872134,295.659496,383180.253983,0.005173,28.116584,8.340994,0.335598,0.247065,0.352351,0.016177,0.021198,3.9102,282.059408,253528.947226,0.005541,34.335002,8.307242,0.327566,0.240584,0.155701,0.016174,0.019856,4.269267,277.461242,229944.707869,0.004801,40.894718,8.43277,0.296002,0.205383,0.043044,0.016121,0.020866,4.805704,273.431515,242316.038719,0.005047,36.398122,8.394639,0.320054,0.232396,0.148355,0.01616,0.020869,4.4183,277.000782,246316.238432,0.004673,41.142135,8.442296,0.293119,0.202111,0.036052,0.016117,0.020841,4.845891,273.15178,245260.282336,0.004967,41.882461,8.402866,0.299567,0.210212,0.00566,0.01611,0.020566,4.824771,272.242311,237462.555391,0.004484,43.968803,8.478137,0.282072,0.190301,-0.013183,0.016117,0.02119,5.067344,272.082727,250114.085429
