,Num,Dnum,ROICoarseness,ROIContrast,ROIBusyness,ROIComplexity,ROIStrength,LLLCoarseness,LLLContrast,LLLBusyness,LLLComplexity,LLLStrength,LLHCoarseness,LLHContrast,LLHBusyness,LLHComplexity,LLHStrength,LHLCoarseness,LHLContrast,LHLBusyness,LHLComplexity,LHLStrength,LHHCoarseness,LHHContrast,LHHBusyness,LHHComplexity,LHHStrength,HLLCoarseness,HLLContrast,HLLBusyness,HLLComplexity,HLLStrength,HLHCoarseness,HLHContrast,HLHBusyness,HLHComplexity,HLHStrength,HHLCoarseness,HHLContrast,HHLBusyness,HHLComplexity,HHLStrength,HHHCoarseness,HHHContrast,HHHBusyness,HHHComplexity,HHHStrength
0,1,1,0.007285,0.083977,0.250534,674.541619,2.63968,0.01018,0.068293,0.188894,499.573535,3.571463,0.006057,0.096239,0.255852,888.967052,1.977779,0.005058,0.137096,0.31306,1096.121481,1.547061,0.004709,0.174398,0.370613,1272.324502,1.327525,0.00468,0.128435,0.344225,1196.572619,1.431264,0.004316,0.175538,0.404651,1382.645074,1.236863,0.004061,0.166138,0.402031,1409.299189,1.213347,0.003939,0.193401,0.439778,1550.919646,1.121738
1,2,3,0.000508,0.083389,3.975396,621.481829,0.180257,0.000741,0.049686,2.496455,421.913915,0.265519,0.000383,0.104351,4.201697,898.831596,0.117232,0.000332,0.095546,4.466621,981.171358,0.105169,0.000299,0.108045,5.11816,1166.066931,0.088696,0.000315,0.121421,5.065645,1085.343783,0.096035,0.000289,0.137324,5.602442,1265.559637,0.082223,0.000276,0.14671,5.954992,1332.855761,0.078304,0.000264,0.163841,6.300902,1426.557262,0.073135
2,3,4,0.003127,0.101358,0.523654,864.901928,1.055775,0.004385,0.074221,0.381892,628.011749,1.43695,0.002991,0.112015,0.549963,946.784296,0.945775,0.002447,0.13249,0.689352,1195.927827,0.755754,0.002298,0.150817,0.724826,1327.6733,0.67192,0.002326,0.154493,0.721382,1309.264166,0.685848,0.002251,0.178605,0.760511,1413.009007,0.620985,0.00214,0.179413,0.81388,1465.849042,0.608308,0.002144,0.194873,0.823722,1518.140757,0.583354
3,4,5,0.001048,0.057909,1.698007,594.465296,0.40732,0.001531,0.038795,1.122876,416.789586,0.584007,0.000822,0.091312,1.874931,873.989506,0.254407,0.000687,0.074557,2.073081,937.721619,0.2359,0.000636,0.099793,2.360218,1122.69865,0.195968,0.000638,0.128403,2.535254,1151.869764,0.193511,0.0006,0.141272,2.728128,1294.253332,0.172732,0.000593,0.148051,2.763204,1341.955739,0.166891,0.000562,0.160176,2.944097,1418.256544,0.157409
4,5,6,0.000384,0.079749,3.966115,599.054394,0.140148,0.000573,0.064011,2.639882,419.113268,0.206727,0.000269,0.105712,6.242705,896.113975,0.082127,0.000221,0.103779,7.182389,1069.495767,0.069224,0.000197,0.152752,8.580684,1321.812232,0.055659,0.000217,0.121307,7.474125,1112.892607,0.065776,0.000197,0.138329,8.238668,1289.10687,0.056653,0.000187,0.166639,9.053598,1407.816998,0.052303,0.00018,0.169075,9.37907,1465.862307,0.0503
5,6,7,0.000658,0.066748,2.594584,676.540419,0.247579,0.000924,0.0472,1.851391,485.408286,0.343902,0.000566,0.101061,2.815881,912.734666,0.175074,0.00049,0.119555,3.259037,1077.759511,0.148378,0.000431,0.153513,3.929801,1317.318367,0.121682,0.000476,0.104769,3.246357,1085.859945,0.147036,0.000433,0.124626,3.642404,1258.102354,0.126263,0.000422,0.155122,3.955428,1331.25605,0.118938,0.000405,0.151045,4.019616,1402.558374,0.113684
6,7,8,0.000189,0.075882,10.219117,593.203605,0.066787,0.000277,0.051561,7.029527,401.282742,0.098848,0.000131,0.11095,12.721017,932.388619,0.039496,0.000109,0.125839,15.074864,1125.196718,0.032541,9.9e-05,0.156742,17.086572,1318.960011,0.027607,0.000105,0.141404,16.047644,1197.971887,0.030626,9.8e-05,0.152005,17.118174,1323.251412,0.027516,9.4e-05,0.167304,18.206123,1409.077199,0.026022,9e-05,0.175494,18.877596,1473.501748,0.024802
7,8,9,0.000926,0.116114,2.010827,857.960088,0.305616,0.001323,0.081451,1.414388,589.803363,0.441903,0.000804,0.137984,2.261584,1051.977575,0.238599,0.000688,0.162166,2.593235,1244.891193,0.199244,0.000634,0.173907,2.780958,1393.802591,0.176749,0.000692,0.145467,2.426329,1217.114706,0.202152,0.000644,0.168726,2.681765,1374.211022,0.178424,0.00061,0.184346,2.883572,1465.626214,0.168304,0.000597,0.190924,2.928389,1503.600295,0.162161
8,9,10,0.000597,0.073255,3.141294,643.477402,0.214403,0.000847,0.054565,2.302629,501.881241,0.320476,0.000529,0.105122,3.027863,893.616658,0.161857,0.00043,0.126943,3.710481,1129.029379,0.126878,0.00039,0.144367,4.249033,1289.191263,0.110835,0.000426,0.123406,3.713507,1121.927467,0.127169,0.000395,0.12383,4.038299,1229.115619,0.115563,0.000374,0.140069,4.337085,1332.316688,0.10732,0.000365,0.129433,4.311989,1344.361687,0.105906
9,10,11,0.000164,0.072618,11.544522,565.327071,0.058104,0.000244,0.048455,7.706973,373.778802,0.087986,0.00011,0.109025,15.04416,925.412801,0.03288,9.2e-05,0.119773,17.459931,1113.908459,0.027153,8.3e-05,0.148504,19.964321,1296.896876,0.0232,8.9e-05,0.132792,18.448315,1156.094115,0.026179,8.2e-05,0.15059,20.401323,1320.317576,0.022883,8e-05,0.152443,20.656727,1350.716707,0.022278,7.6e-05,0.166324,21.905965,1445.090663,0.020913
