,Num,Dnum,ROISZE,ROILZE,ROIszGLN,ROIZSN,ROIZP,ROILGZE,ROIHGZE,ROISZLGE,ROISZHGE,ROILZLGE,ROILZHGE,ROIszGLV,ROIZLV,LLLSZE,LLLLZE,LLLszGLN,LLLZSN,LLLZP,LLLLGZE,LLLHGZE,LLLSZLGE,LLLSZHGE,LLLLZLGE,LLLLZHGE,LLLszGLV,LLLZLV,LLHSZE,LLHLZE,LLHszGLN,LLHZSN,LLHZP,LLHLGZE,LLHHGZE,LLHSZLGE,LLHSZHGE,LLHLZLGE,LLHLZHGE,LLHszGLV,LLHZLV,LHLSZE,LHLLZE,LHLzGLN,LHLZSN,LHLZP,LHLLGZE,LHLHGZE,LHLSZLGE,LHLSZHGE,LHLLZLGE,LHLLZHGE,LHLszGLV,LHLZLV,LHHSZE,LHHLZE,LHHszGLN,LHHZSN,LHHZP,LHHLGZE,LHHHGZE,LHHSZLGE,LHHSZHGE,LHHLZLGE,LHHLZHGE,LHHszGLV,LHHZLV,HLLSZE,HLLLZE,HLLszGLN,HLLZSN,HLLZP,HLLLGZE,HLLHGZE,HLLSZLGE,HLLSZHGE,HLLLZLGE,HLLLZHGE,HLLszGLV,HLLZLV,HLHSZE,HLHLZE,HLHszGLN,HLHZSN,HLHZP,HLHLGZE,HLHHGZE,HLHSZLGE,HLHSZHGE,HLHLZLGE,HLHLZHGE,HLHzGLV,HLHZLV,HHLSZE,HHLLZE,HHLszGLN,HHLZSN,HHLZP,HHLLGZE,HHLHGZE,HHLSZLGE,HHLSZHGE,HHLLZLGE,HHLLZHGE,HHLszGLV,HHLZLV,HHHSZE,HHHLZE,HHHszGLN,HHHZSN,HHHZP,HHHLGZE,HHHHGZE,HHHSZLGE,HHHSZHGE,HHHLZLGE,HHHLZHGE,HHHzGLV,HHHZLV
0,1,1,0.723544,19.883495,0.023221,0.484573,0.456329,0.003634,1241.481276,0.00323,936.309456,0.025321,19898.223301,0.004241,1.3e-05,0.695344,34.101538,0.022017,0.447157,0.411392,0.003944,1232.132308,0.003289,915.665572,0.045158,32078.650769,0.002417,1.2e-05,0.732359,10.582054,0.027882,0.496984,0.537778,0.003357,1198.608028,0.002771,876.846226,0.014212,12690.98229,0.006818,1.2e-05,0.754927,11.684746,0.026459,0.528136,0.561192,0.00819,1215.049718,0.007649,921.215329,0.019082,13874.090395,0.004445,8e-06,0.769562,5.794118,0.025468,0.54943,0.620516,0.004173,1205.178499,0.003836,938.221611,0.009404,6347.429006,0.010344,1.5e-05,0.7463,5.908108,0.028116,0.5158,0.5903,0.005011,1155.170811,0.004618,868.4248,0.010828,6406.362162,0.013435,2e-05,0.788402,3.85563,0.026453,0.578026,0.659264,0.005281,1147.624639,0.004714,927.704253,0.010794,4157.981713,0.015362,1.9e-05,0.777617,3.878378,0.027057,0.56107,0.65736,0.006123,1210.989382,0.005818,959.352113,0.009255,4451.332046,0.014097,1.7e-05,0.806825,3.032172,0.026336,0.606218,0.70778,0.003582,1202.878463,0.00332,992.372085,0.005921,3399.596962,0.020009,2.1e-05
1,2,3,0.688595,120.065881,0.02417,0.438399,0.379693,0.002452,1239.703586,0.001654,870.052941,0.214038,76222.928586,0.00041,1e-06,0.654198,380.785752,0.024242,0.396611,0.292968,0.001842,1358.432616,0.001357,893.456412,0.557274,286244.981526,0.000314,2e-06,0.722635,27.036189,0.025579,0.48299,0.517213,0.004082,1170.803415,0.003393,850.880735,0.030447,29845.14589,0.000552,1e-06,0.727702,37.180601,0.027244,0.490079,0.494229,0.005089,1170.060652,0.004399,855.680975,0.040757,40706.838049,0.000695,1e-06,0.753693,13.241814,0.02819,0.526196,0.560873,0.002895,1162.376569,0.002561,888.922371,0.01534,14201.692912,0.001468,2e-06,0.7347,12.786006,0.02633,0.499405,0.537934,0.003699,1171.40032,0.003117,867.297267,0.016614,14009.477283,0.001674,2e-06,0.767143,7.518055,0.026669,0.545731,0.601553,0.003225,1172.430322,0.002829,912.640041,0.010322,8159.016491,0.002934,4e-06,0.762353,6.697909,0.026589,0.538666,0.603221,0.003213,1175.032996,0.002854,907.911426,0.009353,7330.97337,0.002823,3e-06,0.785093,5.349982,0.026143,0.572799,0.639509,0.003361,1174.780291,0.003088,935.253921,0.007943,5851.187003,0.004133,5e-06
2,3,4,0.715356,6.860072,0.026567,0.473164,0.545395,0.005933,1193.478287,0.005118,853.258294,0.014108,8149.875151,0.007392,1.1e-05,0.67681,11.704354,0.025222,0.423578,0.469193,0.005068,1180.39677,0.003904,793.808053,0.019671,13333.468399,0.005235,1e-05,0.743908,6.009377,0.02711,0.512227,0.595011,0.005292,1165.623276,0.004804,876.705242,0.011183,7004.248759,0.005911,8e-06,0.747507,4.833244,0.027374,0.517149,0.612924,0.002715,1171.076385,0.002328,896.926608,0.007251,5323.782679,0.009924,1.2e-05,0.771575,4.169985,0.026845,0.552044,0.64547,0.003001,1179.475242,0.002661,926.109933,0.006657,4619.815722,0.01284,1.6e-05,0.772162,4.663905,0.02644,0.553104,0.634363,0.003589,1186.855515,0.003264,930.576687,0.007697,5318.679959,0.009534,1.1e-05,0.788593,3.445573,0.02585,0.577744,0.677705,0.003922,1175.265602,0.003558,944.970536,0.007027,3839.816642,0.016191,1.9e-05,0.790357,3.593057,0.026485,0.580381,0.678665,0.00388,1188.054002,0.00361,951.135684,0.006855,3923.407425,0.012462,1.4e-05,0.811408,3.432724,0.025706,0.614165,0.697971,0.002988,1173.788092,0.002745,961.457374,0.005831,3704.069855,0.013591,1.5e-05
3,4,5,0.663667,51.835361,0.026381,0.407994,0.351594,0.002149,1248.695061,0.001528,883.094936,0.079976,41754.534001,0.001336,3e-06,0.641335,151.701286,0.025157,0.380758,0.25419,0.002045,1444.145071,0.00149,990.055648,0.219891,125153.679196,0.001213,6e-06,0.725115,13.816521,0.026314,0.486467,0.50926,0.003962,1185.592398,0.003379,862.274443,0.017625,15474.17377,0.002863,4e-06,0.713398,19.300757,0.030009,0.47055,0.477267,0.004207,1168.871632,0.003659,843.070469,0.022245,21537.478429,0.002091,3e-06,0.746785,9.913588,0.029227,0.516409,0.556712,0.003671,1152.496908,0.003164,872.604281,0.013375,10739.622681,0.002609,4e-06,0.735012,7.742181,0.02632,0.49994,0.560668,0.003682,1185.388293,0.002946,885.255253,0.013031,8510.025916,0.004357,6e-06,0.767052,5.37702,0.026691,0.545534,0.619751,0.003687,1160.771282,0.003357,900.846163,0.008443,5879.015086,0.006295,8e-06,0.763995,6.82357,0.026227,0.541043,0.605441,0.002826,1180.609235,0.002258,915.14539,0.010537,7419.839697,0.003146,4e-06,0.788749,4.831296,0.026214,0.578344,0.647907,0.003541,1173.517951,0.003277,938.531439,0.007581,5293.629777,0.006223,7e-06
4,5,6,0.644049,59.380812,0.025028,0.384526,0.360088,0.003677,1160.484601,0.002836,719.531452,0.049368,106453.704182,0.000525,1e-06,0.614864,141.216108,0.024491,0.351522,0.297118,0.003657,1224.912606,0.002611,717.409853,0.101708,288116.002651,0.000408,1e-06,0.708558,9.386862,0.025767,0.464314,0.525508,0.003481,1180.231005,0.002952,849.561898,0.013282,10331.472976,0.003077,4e-06,0.712233,8.793036,0.027735,0.469177,0.535479,0.002717,1164.02852,0.002315,838.229475,0.011068,9692.806605,0.002269,3e-06,0.770077,4.992426,0.026013,0.549897,0.630964,0.002902,1176.698407,0.002572,920.095496,0.007402,5465.44066,0.004399,5e-06,0.719432,9.004002,0.026596,0.478697,0.540998,0.003815,1173.736386,0.003342,854.362172,0.012861,9763.155261,0.001876,2e-06,0.767413,5.9087,0.026774,0.546121,0.61193,0.003064,1173.613856,0.002731,913.665236,0.008336,6484.691953,0.00513,6e-06,0.768173,4.92392,0.0257,0.547163,0.625222,0.003057,1179.924618,0.002702,919.01123,0.007502,5465.744478,0.005043,6e-06,0.784915,4.569574,0.025772,0.572475,0.645605,0.003016,1175.849518,0.002744,936.029867,0.006819,5066.581458,0.007239,8e-06
5,6,7,0.671126,40.001432,0.026827,0.416919,0.417145,0.002548,1238.498496,0.001993,860.964168,0.055051,32929.560934,0.000736,1e-06,0.631757,89.582607,0.02621,0.370744,0.335842,0.002096,1258.63258,0.001459,815.580148,0.124603,70593.273342,0.000507,1e-06,0.709495,11.002452,0.026852,0.465588,0.534402,0.003587,1173.948055,0.00295,840.015741,0.015535,12421.10389,0.001274,2e-06,0.7309,8.221263,0.026897,0.494193,0.558713,0.0037,1165.466517,0.003246,858.740515,0.011529,9437.882171,0.00232,3e-06,0.765574,4.629041,0.026132,0.543201,0.632994,0.003085,1172.545019,0.002766,909.179414,0.007093,5109.01156,0.007379,9e-06,0.718069,11.087859,0.027931,0.476999,0.533046,0.002934,1166.60009,0.002401,847.344857,0.013993,12019.499215,0.002183,3e-06,0.765339,6.438117,0.028041,0.543107,0.606235,0.003008,1172.234801,0.002616,912.145493,0.009045,6955.90604,0.003994,5e-06,0.763901,5.155753,0.026484,0.540888,0.617496,0.003349,1177.210049,0.003004,910.010884,0.008011,5690.855242,0.006342,8e-06,0.785677,4.593167,0.026972,0.573905,0.642546,0.003035,1169.352892,0.002695,929.996249,0.007083,5109.300993,0.007725,9e-06
6,7,8,0.632236,45.707858,0.025414,0.37116,0.368131,0.002768,1174.430082,0.001964,737.477379,0.067056,45900.744613,0.00064,1e-06,0.594213,155.318242,0.025629,0.329758,0.282732,0.002927,1192.473804,0.00185,699.275517,0.240378,137303.258542,0.000341,1e-06,0.715618,9.125053,0.025609,0.473816,0.541098,0.003343,1175.905678,0.002777,848.293768,0.012792,10350.21417,0.001915,2e-06,0.725985,8.587478,0.026227,0.487589,0.555323,0.003433,1172.696938,0.00294,859.968251,0.01202,9414.247293,0.00179,2e-06,0.766302,5.605917,0.025578,0.544334,0.622158,0.002987,1177.081503,0.002657,915.043591,0.007971,6181.129547,0.002267,3e-06,0.733057,7.785763,0.025569,0.497208,0.571427,0.003406,1178.072961,0.002875,873.615224,0.011501,8572.117492,0.002025,3e-06,0.764305,5.982063,0.025884,0.541417,0.617521,0.002911,1176.782696,0.002572,913.483275,0.00831,6536.797076,0.002253,3e-06,0.760499,5.331186,0.02554,0.535831,0.617927,0.002796,1175.487896,0.002432,905.297161,0.007653,5923.860379,0.003851,5e-06,0.784641,4.519034,0.025555,0.571846,0.651847,0.002969,1178.174955,0.002679,937.30911,0.006795,4997.259268,0.005092,6e-06
7,8,9,0.702335,6.639908,0.024916,0.456248,0.542574,0.002326,1152.489554,0.001738,801.571624,0.010279,7985.462741,0.007801,1e-05,0.656141,10.451365,0.02468,0.399069,0.464216,0.002341,1180.54902,0.001637,768.075069,0.015205,12501.373126,0.005572,8e-06,0.746933,4.40625,0.024903,0.516409,0.619466,0.002639,1196.705729,0.00219,909.644618,0.007218,4951.16276,0.011129,1.2e-05,0.748721,4.418234,0.0251,0.518912,0.620622,0.003283,1177.721852,0.00287,895.005222,0.007606,5032.29725,0.012638,1.4e-05,0.774505,3.722192,0.025388,0.556314,0.65995,0.002847,1177.767721,0.00256,924.115545,0.005906,4131.611914,0.010608,1.2e-05,0.741987,5.37269,0.025789,0.509536,0.600162,0.004027,1177.049572,0.003504,882.936168,0.009796,6081.637374,0.006324,8e-06,0.781128,3.784213,0.025418,0.566328,0.664055,0.003007,1181.076902,0.002713,934.458493,0.006111,4233.481758,0.008846,1e-05,0.778039,3.880625,0.025258,0.561691,0.660352,0.003218,1174.266757,0.002769,924.852088,0.007121,4354.318695,0.010291,1.1e-05,0.794684,3.516395,0.025244,0.587429,0.677367,0.002866,1175.784681,0.002613,948.810964,0.005648,3903.990044,0.012892,1.4e-05
8,9,10,0.672986,39.029249,0.027952,0.419531,0.406622,0.001395,1341.423188,0.00091,957.137809,0.065447,27407.353491,0.001401,2e-06,0.641377,56.996665,0.02773,0.381915,0.353977,0.001454,1281.203608,0.000876,872.585231,0.115194,35878.515464,0.001054,2e-06,0.72336,11.042303,0.025542,0.483959,0.531368,0.00402,1181.65213,0.003518,853.262805,0.014771,12763.880727,0.002405,3e-06,0.740252,7.772651,0.02629,0.507072,0.571245,0.003739,1176.703295,0.003231,874.321681,0.011234,8811.550636,0.00332,4e-06,0.767337,5.310808,0.026557,0.545926,0.620627,0.00299,1172.852956,0.002495,917.204408,0.008423,5767.596535,0.005714,7e-06,0.736213,9.132543,0.026387,0.501499,0.554908,0.003745,1174.728841,0.003303,873.521819,0.012341,10271.093021,0.003031,4e-06,0.759013,7.463547,0.027338,0.533875,0.589543,0.002672,1167.192963,0.002346,904.910177,0.009452,8008.970802,0.002725,3e-06,0.758517,6.415529,0.026899,0.533054,0.599454,0.002904,1172.609639,0.002588,903.646468,0.008606,7021.757697,0.005003,6e-06,0.774208,6.74976,0.027844,0.556356,0.612181,0.002669,1159.870644,0.002387,908.91874,0.008538,7322.145166,0.003726,5e-06
9,10,11,0.640456,100.166516,0.025751,0.380502,0.346084,0.001977,1243.202725,0.001415,806.216711,0.2125,95472.048644,0.000414,1e-06,0.596204,268.211037,0.025709,0.331647,0.258214,0.001751,1234.101786,0.00108,737.365345,0.459579,283085.681179,0.000228,1e-06,0.716461,12.131055,0.025503,0.474734,0.530819,0.003531,1173.490803,0.002925,847.643591,0.015887,13560.180107,0.001151,1e-06,0.73051,16.094493,0.026128,0.493623,0.539542,0.003156,1172.425771,0.002714,864.846815,0.018258,17780.882015,0.000668,1e-06,0.767,8.244477,0.025786,0.545425,0.608951,0.003007,1180.056123,0.002673,919.644524,0.010548,8937.666907,0.00145,2e-06,0.728051,16.211574,0.025671,0.490403,0.550375,0.003641,1174.645379,0.003178,863.777023,0.018856,18097.276582,0.000471,1e-06,0.768474,7.993524,0.025915,0.547586,0.616304,0.003179,1178.215917,0.002862,919.552019,0.010443,8646.923729,0.000931,1e-06,0.761366,10.04802,0.025895,0.537199,0.595186,0.003221,1176.90519,0.002858,908.185737,0.012619,10855.283785,0.000771,1e-06,0.784444,6.027827,0.025747,0.571719,0.639429,0.002968,1179.216414,0.002692,938.751128,0.008198,6587.560303,0.001768,2e-06
