,Num,Dnum,ROIGEnergy,ROIGContrast,ROIGEntropy,ROIGHomogeneity1,ROIGHomogeneity2,ROIGCorrelation,ROIGSumAverage,ROIGVariance,ROIGDissimilarity,ROIGAutoCorrelation,ROIGCorrelation1,LLLGEnergy,LLLGContrast,LLLGEntropy,LLLGHomogeneity1,LLLGHomogeneity2,LLLGCorrelation,LLLGSumAverage,LLLGVariance,LLLGDissimilarity,LLLGAutoCorrelation,LLLGCorrelation1,LLHGEnergy,LLHGContrast,LLHGEntropy,LLHGHomogeneity1,LLHGHomogeneity2,LLHGCorrelation,LLHGSumAverage,LLHGVariance,LLHGDissimilarity,LLHGAutoCorrelation,LLHGCorrelation1,LHLGEnergy,LHLGContrast,LHLGEntropy,LHLGHomogeneity1,LHLGHomogeneity2,LHLGCorrelation,LHLGSumAverage,LHLGVariance,LHLGDissimilarity,LHLGAutoCorrelation,LHLGCorrelation1,LHHGEnergy,LHHGContrast,LHHGEntropy,LHHGHomogeneity1,LHHGHomogeneity2,LHHGCorrelation,LHHGSumAverage,LHHGVariance,LHHGDissimilarity,LHHGAutoCorrelation,LHHGCorrelation1,HLLGEnergy,HLLGContrast,HLLGEntropy,HLLGHomogeneity1,HLLGHomogeneity2,HLLGCorrelation,HLLGSumAverage,HLLGVariance,HLLGDissimilarity,HLLGAutoCorrelation,HLLGCorrelation1,HLHGEnergy,HLHGContrast,HLHGEntropy,HLHGHomogeneity1,HLHGHomogeneity2,HLHGCorrelation,HLHGSumAverage,HLHGVariance,HLHGDissimilarity,HLHGAutoCorrelation,HLHGCorrelation1,HHLGEnergy,HHLGContrast,HHLGEntropy,HHLGHomogeneity1,HHLGHomogeneity2,HHLGCorrelation,HHLGSumAverage,HHLGVariance,HHLGDissimilarity,HHLGAutoCorrelation,HHLGCorrelation1,HHHGEnergy,HHHGContrast,HHHGEntropy,HHHGHomogeneity1,HHHGHomogeneity2,HHHGCorrelation,HHHGSumAverage,HHHGVariance,HHHGDissimilarity,HHHGAutoCorrelation,HHHGCorrelation1
0,1,1,0.000389,185.356809,11.884507,0.183651,0.10311,0.79767,0.004295,0.028015,10.283734,5318.977286,105652528.528845,0.000328,202.817286,12.038376,0.183036,0.102763,0.819878,0.004908,0.034477,10.575344,6930.057751,193400405.897299,0.000409,194.288097,11.844171,0.186318,0.10589,0.775978,0.004179,0.026445,10.372146,5023.557128,91067229.911658,0.000269,629.711129,12.342882,0.138647,0.074582,0.234405,0.003881,0.025174,18.51496,4140.014961,81238170.462132,0.000359,647.700876,12.128075,0.140223,0.07323,0.111629,0.003878,0.022411,18.105688,4080.278689,60638589.766793,0.000361,599.630701,12.075918,0.143418,0.078525,0.16979,0.003855,0.022146,17.778595,4052.68865,56133105.729054,0.000246,711.860389,12.465193,0.118738,0.057608,0.137788,0.003903,0.025235,20.303198,4146.36128,80039270.907106,0.000304,747.012611,12.249112,0.124352,0.064586,0.01519,0.003931,0.023101,20.678553,4153.853156,64076668.451187,0.000279,749.890717,12.314116,0.115322,0.055657,0.002616,0.003933,0.022852,20.917542,4152.670158,68718547.746761
1,2,3,0.000385,150.138419,11.90534,0.203559,0.119989,0.834211,0.004129,0.027613,9.060093,4952.873341,106202941.513914,0.000455,104.326239,11.679768,0.230187,0.143743,0.885841,0.004205,0.027882,7.539649,5152.071608,113266007.499803,0.000384,146.607743,11.907045,0.197953,0.11464,0.825845,0.003942,0.025679,9.147997,4517.71789,93014127.806472,0.000249,665.37069,12.625636,0.135749,0.072976,0.189127,0.003945,0.025033,19.006672,4254.408703,79763483.009684,0.000279,623.37262,12.513937,0.133271,0.0683,0.178416,0.00394,0.023151,18.351436,4234.187881,70423448.633359,0.00027,631.527089,12.548387,0.139566,0.075706,0.199081,0.00393,0.024063,18.362441,4224.640322,74469558.800725,0.000296,602.76931,12.47634,0.134526,0.0692,0.192383,0.003937,0.022768,18.060315,4231.354229,66696991.459738,0.000236,798.213102,12.664437,0.122434,0.063688,0.01719,0.003941,0.024784,21.362273,4176.619193,77297910.813676,0.000273,745.617473,12.5407,0.121745,0.06061,0.008804,0.003942,0.022946,20.456511,4173.734528,67846522.69393
2,3,4,0.000248,352.596209,12.401655,0.143529,0.072552,0.641578,0.003931,0.029924,14.416565,4461.616413,112471248.994296,0.000298,268.863896,12.133581,0.159163,0.083618,0.68105,0.00395,0.025677,12.490912,4473.717524,96757997.81593,0.000269,428.743007,12.347222,0.135774,0.067116,0.489618,0.00406,0.025622,15.725564,4629.689315,90007406.049423,0.000249,930.602602,12.543937,0.109191,0.051748,-0.082791,0.003934,0.026231,23.188799,4119.016322,77984828.778464,0.000284,786.996557,12.366385,0.111712,0.051587,-0.039099,0.003985,0.023101,21.266916,4248.150101,68154224.698533,0.000269,872.12997,12.445941,0.113502,0.055097,-0.057708,0.004009,0.025143,22.392759,4289.324447,74446365.088292,0.000271,791.716162,12.363235,0.106532,0.048362,-0.072138,0.003898,0.022546,21.811102,4052.883822,66103696.207577,0.000236,856.564572,12.530644,0.111921,0.053249,0.009898,0.003869,0.026143,22.172425,4018.252871,81254505.984749,0.000271,772.31998,12.40159,0.111847,0.051766,0.008654,0.003973,0.02357,21.101869,4236.229395,70896016.133166
3,4,5,0.000286,236.145732,12.207448,0.164887,0.08784,0.737273,0.004142,0.02737,11.757267,4935.689323,114385680.965925,0.000338,177.118301,11.985533,0.180566,0.099537,0.788116,0.004036,0.025492,10.196831,4701.089762,99188075.705212,0.00028,341.247515,12.316577,0.14562,0.073675,0.561733,0.00396,0.023711,14.064295,4428.043609,83212985.411248,0.000232,826.14496,12.60329,0.110424,0.052234,-0.050734,0.003924,0.024017,22.083291,4113.705767,77665903.986193,0.000237,795.390205,12.578337,0.106448,0.048324,-0.039938,0.003937,0.023348,21.877016,4145.217307,73705924.481136,0.000243,843.513235,12.583378,0.113028,0.05442,-0.072218,0.003934,0.024037,22.06391,4126.863982,75239262.071428,0.000244,792.642833,12.533645,0.106648,0.04852,-0.064747,0.003936,0.02274,21.824867,4135.810652,72413500.234256,0.00023,814.512965,12.636766,0.113984,0.054613,0.010424,0.003917,0.025032,21.573894,4121.214802,81866158.319411,0.000237,781.636093,12.604528,0.109462,0.050425,0.009462,0.003966,0.02401,21.457094,4223.831068,78539772.32205
4,5,6,0.000461,186.339726,11.807804,0.193762,0.11206,0.75117,0.004101,0.022821,9.938074,4794.65431,73161127.765697,0.00051,148.517756,11.654955,0.210402,0.126252,0.800153,0.004055,0.022649,8.827987,4710.017096,72825110.449622,0.000358,313.885723,12.123229,0.158449,0.084027,0.52462,0.003905,0.020126,13.149254,4265.352582,61829744.657425,0.000293,682.405818,12.379003,0.121978,0.059823,-0.029223,0.003944,0.020243,19.693684,4166.545391,61978057.852093,0.0003,710.908342,12.394401,0.116609,0.055024,-0.051391,0.003949,0.020646,20.153525,4168.264274,59967195.735661,0.000325,694.324712,12.299186,0.124803,0.062088,-0.077,0.003937,0.019685,19.599509,4135.681518,57535197.089262,0.0003,724.507913,12.383561,0.115475,0.054341,-0.079106,0.003933,0.020499,20.381567,4125.051423,60383230.751369,0.000291,680.358175,12.405874,0.123414,0.060423,0.01293,0.003925,0.021013,19.434328,4140.185834,65057250.600277,0.000284,692.173793,12.447314,0.117618,0.055754,0.009096,0.003941,0.021303,19.869519,4172.464605,64607954.193191
5,6,7,0.000363,178.373668,12.03463,0.191634,0.110402,0.809316,0.003819,0.028517,9.939658,4292.634997,93532851.976017,0.000394,146.255533,11.920641,0.204034,0.120597,0.846582,0.00378,0.029065,9.010662,4239.593116,92971286.995994,0.000363,263.64036,12.087993,0.165299,0.088875,0.636047,0.004041,0.022061,12.146066,4612.185401,71804985.130918,0.000263,757.134439,12.504606,0.116083,0.055803,-0.039879,0.003935,0.022234,20.869082,4141.54688,68821228.418487,0.000256,782.554664,12.531388,0.109494,0.050526,-0.066231,0.003939,0.0224,21.500796,4141.580548,69072832.536746,0.000295,786.518932,12.447597,0.120806,0.059875,-0.078942,0.003934,0.02228,20.822911,4126.499624,63768906.820102,0.000267,787.549283,12.498674,0.110887,0.051269,-0.081979,0.003938,0.022236,21.391291,4132.891339,67122095.14422,0.000247,782.660169,12.590426,0.117105,0.056436,0.003928,0.003935,0.023936,20.991683,4158.199398,77005480.799418,0.000249,763.066509,12.578305,0.112225,0.052288,0.002142,0.003948,0.023301,21.044883,4184.776088,73777458.992192
6,7,8,0.000401,164.428522,11.899519,0.19767,0.115012,0.804952,0.004,0.025722,9.473142,4634.607006,88229761.492064,0.000488,116.310571,11.637165,0.223518,0.13725,0.856508,0.004023,0.024742,7.894165,4691.418797,86836762.966098,0.000295,318.956163,12.337028,0.152794,0.079658,0.591948,0.003932,0.023846,13.514013,4381.738725,79942344.929352,0.000253,678.347128,12.58932,0.122812,0.060342,0.112138,0.003929,0.023315,19.576216,4185.742408,72743541.397149,0.000268,728.866749,12.517744,0.114593,0.053772,-0.012348,0.003939,0.021974,20.52899,4161.023204,66164330.440693,0.000276,692.192065,12.49849,0.124661,0.061974,0.041429,0.003927,0.022042,19.602433,4154.405467,66940849.339095,0.000261,739.12848,12.545046,0.113915,0.0534,-0.008637,0.003943,0.022366,20.697709,4169.388651,67948074.120635,0.000239,790.394557,12.643968,0.114961,0.055156,-0.006485,0.003938,0.023966,21.293756,4159.494572,76222203.166704,0.000259,745.885932,12.564041,0.113103,0.052808,-0.002798,0.003936,0.022695,20.801714,4157.750841,68990817.824354
7,8,9,0.000337,173.248792,12.076504,0.206815,0.12495,0.874606,0.004402,0.042077,9.461266,5804.561128,218178689.270486,0.000384,134.56994,11.889516,0.225395,0.141374,0.902967,0.004557,0.04226,8.293365,6198.681043,224190786.104297,0.00032,337.956131,12.31479,0.158429,0.084937,0.568769,0.003938,0.023894,13.589117,4385.541111,76534990.09204,0.000397,631.138218,12.158221,0.13714,0.071723,-0.043118,0.003911,0.018488,18.274842,4093.690595,49768599.260164,0.000331,728.508525,12.3687,0.122489,0.059811,-0.058921,0.003947,0.021001,19.999881,4161.123177,57380041.769277,0.000357,682.452485,12.23432,0.129647,0.066044,-0.077605,0.003942,0.01935,19.165274,4147.771542,53990106.13773,0.000305,743.876812,12.411405,0.117673,0.056069,-0.066588,0.003932,0.021287,20.400229,4126.592145,60337420.039158,0.000299,724.671036,12.451641,0.125397,0.062655,0.001167,0.003939,0.022119,19.873963,4165.439751,65443274.446993,0.000304,725.93818,12.460638,0.121533,0.059105,0.001071,0.003932,0.022157,20.026915,4150.55193,62881312.931691
8,9,10,0.000384,238.418161,11.968402,0.180884,0.102131,0.71016,0.004463,0.025066,11.193272,5637.113642,97715823.640007,0.000391,200.657403,11.916551,0.19004,0.109205,0.767515,0.00448,0.026302,10.281703,5718.360335,108776881.099671,0.000348,304.9743,12.202295,0.164243,0.088553,0.593876,0.003863,0.022884,12.752619,4227.400348,69945334.129792,0.000279,761.818162,12.464596,0.118073,0.057519,-0.074157,0.003934,0.021653,20.80801,4127.690671,64925882.522084,0.000309,684.964193,12.32647,0.117733,0.055791,-0.068609,0.00394,0.019568,19.838519,4145.144216,58330687.389559,0.000282,732.539254,12.437339,0.119392,0.058447,-0.056038,0.003937,0.021175,20.454322,4141.77879,64859067.215446,0.000291,710.888684,12.413916,0.116442,0.055079,-0.043509,0.003943,0.020793,20.222468,4159.603158,62480856.596043,0.000257,761.352941,12.553766,0.119116,0.057955,-0.001382,0.003931,0.023179,20.648254,4147.865278,73752340.283749,0.000263,731.604493,12.525365,0.114895,0.053918,0.002502,0.003953,0.022363,20.502445,4194.552484,70312413.037882
9,10,11,0.00056,163.23519,11.62418,0.211283,0.127217,0.775455,0.004007,0.022155,8.988931,4590.317089,62902094.216259,0.000614,129.974782,11.487027,0.23049,0.144467,0.825486,0.004022,0.022695,7.936674,4649.110526,67346904.442988,0.000494,303.210802,11.887635,0.16828,0.091898,0.481499,0.003958,0.017836,12.523587,4345.967226,47859770.450678,0.000307,675.042365,12.362115,0.122748,0.060145,-0.030997,0.003935,0.019986,19.510455,4146.917994,59228743.931099,0.000332,636.738439,12.250849,0.120302,0.057288,-0.052945,0.003933,0.018458,19.099196,4137.144248,53763538.083704,0.000339,658.245792,12.231904,0.125631,0.062405,-0.081365,0.003926,0.018579,19.14571,4112.576752,54742694.669219,0.000341,668.457605,12.265223,0.12124,0.058204,-0.070962,0.003939,0.019049,19.343274,4141.970268,54152285.018232,0.000281,700.959399,12.458267,0.123041,0.060397,0.006441,0.003937,0.021528,19.707149,4163.51484,67475264.126361,0.000322,624.171903,12.301763,0.12321,0.059281,0.007931,0.003937,0.019197,18.736042,4163.824932,57749391.001479
