,Num,Dnum,ROISZE,ROILZE,ROIszGLN,ROIZSN,ROIZP,ROILGZE,ROIHGZE,ROISZLGE,ROISZHGE,ROILZLGE,ROILZHGE,ROIszGLV,ROIZLV,LLLSZE,LLLLZE,LLLszGLN,LLLZSN,LLLZP,LLLLGZE,LLLHGZE,LLLSZLGE,LLLSZHGE,LLLLZLGE,LLLLZHGE,LLLszGLV,LLLZLV,LLHSZE,LLHLZE,LLHszGLN,LLHZSN,LLHZP,LLHLGZE,LLHHGZE,LLHSZLGE,LLHSZHGE,LLHLZLGE,LLHLZHGE,LLHszGLV,LLHZLV,LHLSZE,LHLLZE,LHLzGLN,LHLZSN,LHLZP,LHLLGZE,LHLHGZE,LHLSZLGE,LHLSZHGE,LHLLZLGE,LHLLZHGE,LHLszGLV,LHLZLV,LHHSZE,LHHLZE,LHHszGLN,LHHZSN,LHHZP,LHHLGZE,LHHHGZE,LHHSZLGE,LHHSZHGE,LHHLZLGE,LHHLZHGE,LHHszGLV,LHHZLV,HLLSZE,HLLLZE,HLLszGLN,HLLZSN,HLLZP,HLLLGZE,HLLHGZE,HLLSZLGE,HLLSZHGE,HLLLZLGE,HLLLZHGE,HLLszGLV,HLLZLV,HLHSZE,HLHLZE,HLHszGLN,HLHZSN,HLHZP,HLHLGZE,HLHHGZE,HLHSZLGE,HLHSZHGE,HLHLZLGE,HLHLZHGE,HLHzGLV,HLHZLV,HHLSZE,HHLLZE,HHLszGLN,HHLZSN,HHLZP,HHLLGZE,HHLHGZE,HHLSZLGE,HHLSZHGE,HHLLZLGE,HHLLZHGE,HHLszGLV,HHLZLV,HHHSZE,HHHLZE,HHHszGLN,HHHZSN,HHHZP,HHHLGZE,HHHHGZE,HHHSZLGE,HHHSZHGE,HHHLZLGE,HHHLZHGE,HHHzGLV,HHHZLV
0,1,1,0.77369,3.633615,0.013068,0.555099,0.6616,0.001359,4897.445586,0.001267,3678.439787,0.002117,19934.179565,0.01568,5e-06,0.775031,3.837954,0.011429,0.557367,0.650501,0.00203,6101.279729,0.001967,4457.726822,0.00257,29065.327172,0.027646,6e-06,0.763474,3.721675,0.013629,0.540643,0.654839,0.002066,4870.85468,0.001917,3648.41026,0.003244,19257.596059,0.021636,6e-06,0.821243,2.979967,0.013078,0.629904,0.72024,0.001233,4587.959933,0.000739,3778.03197,0.003608,13348.000556,0.020316,6e-06,0.831852,2.970492,0.014233,0.647422,0.736715,0.001702,4448.259016,0.001605,3710.165546,0.002437,12998.161202,0.011512,3e-06,0.801045,3.234717,0.014519,0.596954,0.699476,0.001149,4527.049596,0.001084,3670.648095,0.001836,13473.189735,0.013956,5e-06,0.858671,2.087286,0.013138,0.693471,0.793753,0.001627,4630.238143,0.001577,4028.475296,0.001973,9143.74773,0.028422,7e-06,0.838148,2.620151,0.01427,0.658254,0.748689,0.001548,4595.588362,0.001303,3881.971276,0.003445,11817.646552,0.024894,7e-06,0.858906,2.055471,0.014047,0.694415,0.792658,0.001432,4559.192366,0.00139,3939.251949,0.001727,9221.516539,0.036914,9e-06
1,2,3,0.728503,5.893231,0.0132,0.49097,0.577959,0.001588,4711.573861,0.001357,3345.613337,0.005979,31373.889209,0.006984,2e-06,0.695226,9.81628,0.012876,0.447217,0.505717,0.001658,4802.143864,0.001301,3252.128918,0.006112,56110.79114,0.003692,1e-06,0.734086,5.318377,0.012983,0.498607,0.593743,0.000598,4663.913395,0.000474,3447.453543,0.002145,23185.395461,0.006041,2e-06,0.811058,3.248835,0.013291,0.613495,0.70026,0.000875,4654.574234,0.000779,3806.625002,0.001725,14563.323014,0.012234,3e-06,0.827919,2.629384,0.013952,0.640623,0.741334,0.001136,4626.69663,0.001072,3867.735256,0.001659,11684.4891,0.01327,3e-06,0.804053,3.460964,0.013498,0.602338,0.687996,0.001201,4597.437938,0.001089,3707.088739,0.002269,15525.724202,0.00815,2e-06,0.828356,2.756294,0.014036,0.641579,0.735756,0.001166,4600.731542,0.001089,3839.064055,0.001771,12242.337415,0.011644,3e-06,0.833559,2.781273,0.013416,0.651093,0.734765,0.001063,4621.77174,0.000941,3879.354913,0.001925,12551.670904,0.015905,4e-06,0.849376,2.391634,0.013899,0.677672,0.768426,0.001201,4601.945715,0.001144,3938.997924,0.001639,10636.823015,0.018075,5e-06
2,3,4,0.824118,2.499375,0.012146,0.634164,0.742724,0.001145,4706.979158,0.001069,3910.891469,0.001717,11859.31138,0.022587,6e-06,0.799503,2.650151,0.012891,0.59418,0.720137,0.000882,4682.691512,0.00081,3761.052536,0.001448,12004.13701,0.024621,7e-06,0.844953,2.239227,0.013413,0.669454,0.773039,0.001985,4801.234797,0.001924,4044.650132,0.002488,10881.075312,0.023038,6e-06,0.875787,1.889058,0.013506,0.724937,0.818408,0.001205,4622.713526,0.001162,4068.725445,0.001475,8482.835106,0.032538,8e-06,0.879119,1.803484,0.014542,0.730971,0.827122,0.002078,4698.207876,0.002042,4163.186657,0.002296,8241.792124,0.040885,1e-05,0.859941,2.14099,0.013791,0.696554,0.788077,0.001188,4767.620198,0.001069,4137.3816,0.001815,9808.663762,0.033155,8e-06,0.883065,1.757804,0.014407,0.738414,0.833542,0.001433,4497.248214,0.001399,4010.060041,0.00165,7601.461452,0.035612,9e-06,0.872695,1.896433,0.013448,0.71927,0.814687,0.00166,4507.915612,0.001611,3975.185434,0.001972,8256.87687,0.032848,8e-06,0.885073,1.801507,0.014224,0.742822,0.830466,0.001066,4670.132957,0.001033,4163.466905,0.001283,8224.777401,0.041079,1e-05
3,4,5,0.786422,3.149972,0.012816,0.574097,0.6893,0.000844,4912.500138,0.000769,3810.402034,0.001598,15748.46984,0.016131,4e-06,0.770271,3.740207,0.013139,0.549996,0.654499,0.000781,4645.29751,0.000684,3542.176491,0.001751,18018.071501,0.013448,4e-06,0.818034,2.528119,0.01355,0.623823,0.739554,0.001336,4598.343374,0.001257,3776.295983,0.001925,11464.466968,0.020602,5e-06,0.862298,2.003946,0.013425,0.70004,0.80067,0.001006,4580.187253,0.000949,3973.685175,0.001358,8900.155686,0.02632,6e-06,0.878643,1.801903,0.013748,0.730239,0.825937,0.001036,4590.837066,0.000999,4059.211191,0.001265,8082.305327,0.033549,8e-06,0.862201,2.049928,0.01355,0.700272,0.796245,0.000913,4583.961381,0.000866,3967.452166,0.001231,9213.088065,0.031634,8e-06,0.877737,1.822783,0.013856,0.728551,0.82389,0.001439,4580.881545,0.001403,4045.461422,0.00167,8147.954969,0.033626,8e-06,0.860798,2.065043,0.01311,0.69749,0.796806,0.000982,4592.320773,0.000925,3984.827487,0.001343,9171.307092,0.013309,3e-06,0.876618,1.85801,0.013438,0.726543,0.820621,0.000913,4672.729916,0.000877,4118.051707,0.001156,8427.946287,0.029951,7e-06
4,5,6,0.752251,5.421079,0.013618,0.523999,0.603386,0.002214,4456.736485,0.001979,3240.19981,0.004085,28862.624979,0.005346,2e-06,0.731484,7.247773,0.013636,0.494928,0.560358,0.001946,4242.812795,0.001657,2964.765679,0.004634,39276.181286,0.004354,1e-06,0.800587,3.267672,0.014412,0.596352,0.694689,0.000791,4554.710996,0.000719,3692.522563,0.001498,14050.046204,0.009374,3e-06,0.847267,2.2873,0.014642,0.673778,0.771529,0.000776,4573.980858,0.000721,3903.354004,0.001172,10101.320252,0.015351,4e-06,0.858854,2.084088,0.014715,0.694196,0.791647,0.00123,4584.054287,0.001181,3967.187241,0.001558,9261.163755,0.027669,7e-06,0.842155,2.432579,0.01473,0.66495,0.760526,0.001125,4543.979986,0.001065,3851.035483,0.001569,10714.612751,0.021089,5e-06,0.864034,2.083021,0.014516,0.703356,0.798794,0.001028,4563.079985,0.000988,3971.407194,0.001326,9167.213096,0.011749,3e-06,0.848039,2.284944,0.01421,0.674979,0.773244,0.001023,4548.094619,0.000961,3883.870273,0.001475,10096.943098,0.022365,6e-06,0.861773,2.092566,0.014272,0.699587,0.793556,0.001193,4580.497584,0.001151,3976.184727,0.001503,9299.688523,0.023324,6e-06
5,6,7,0.760863,5.243523,0.01291,0.536377,0.617658,0.000712,4262.375045,0.000606,3219.917834,0.002169,25189.389529,0.005562,2e-06,0.731756,6.324758,0.012807,0.495508,0.57869,0.000653,4217.42229,0.000515,3080.026194,0.002578,30112.156763,0.003944,1e-06,0.792773,3.330881,0.014177,0.58407,0.68698,0.001517,4709.281907,0.001331,3727.030208,0.002787,15392.510506,0.010812,3e-06,0.85589,2.095983,0.01404,0.68871,0.789282,0.000918,4598.017632,0.000865,3979.884271,0.001273,9233.240526,0.022879,6e-06,0.87461,1.90854,0.013915,0.723072,0.814998,0.000825,4589.249931,0.000787,4041.553105,0.001078,8542.721212,0.027532,7e-06,0.847804,2.3628,0.014333,0.67465,0.770213,0.001215,4580.865684,0.001083,3918.765027,0.001947,10349.825243,0.014751,4e-06,0.868161,1.915507,0.01425,0.71061,0.810633,0.001145,4599.522959,0.001047,4026.686302,0.001638,8562.486737,0.033834,8e-06,0.856809,2.095703,0.013445,0.690305,0.790631,0.000995,4612.590854,0.000943,3981.785082,0.001359,9368.202945,0.019425,5e-06,0.870145,1.951853,0.013643,0.714751,0.808729,0.000852,4626.151299,0.000814,4052.270087,0.001121,8724.559474,0.029523,7e-06
6,7,8,0.734721,5.607461,0.01326,0.499523,0.590245,0.001297,4378.176615,0.000871,3137.107587,0.016154,28694.912669,0.004819,1e-06,0.70096,9.253158,0.013309,0.454544,0.520952,0.001504,4248.785635,0.001189,2869.88874,0.006604,50542.154031,0.002904,1e-06,0.799531,2.981077,0.013555,0.594417,0.705427,0.001007,4641.180605,0.000912,3740.512343,0.001773,13286.451958,0.012233,3e-06,0.842285,2.315727,0.013794,0.664922,0.766718,0.001074,4597.530963,0.000949,3901.440869,0.001768,10222.70778,0.017639,4e-06,0.861206,2.053853,0.014261,0.698315,0.796034,0.000867,4583.468058,0.000823,3974.415028,0.001173,9132.999466,0.017061,4e-06,0.839078,2.415707,0.014139,0.659478,0.759232,0.000839,4576.518092,0.000745,3873.784603,0.00142,10644.049407,0.017786,5e-06,0.860349,2.037623,0.014132,0.696599,0.79679,0.001099,4594.463455,0.001051,3982.705892,0.001413,9094.916253,0.023061,6e-06,0.855116,2.130345,0.013552,0.687333,0.787052,0.000894,4612.133497,0.000795,3973.956041,0.001464,9515.69848,0.02206,5e-06,0.865521,1.994413,0.014052,0.70613,0.802817,0.001003,4590.07846,0.000959,4003.782545,0.001298,8838.423452,0.025117,6e-06
7,8,9,0.750595,11.925029,0.011371,0.521707,0.578406,0.000678,4979.361297,0.000561,3621.752974,0.002575,113871.37589,0.001566,0.0,0.715977,15.141273,0.011611,0.474043,0.526682,0.000488,5283.18487,0.000362,3658.595676,0.00325,152527.684718,0.001132,0.0,0.806117,3.588283,0.013375,0.605074,0.696701,0.000941,4649.810177,0.000831,3779.493901,0.001894,15698.837154,0.007852,2e-06,0.830971,3.038216,0.015441,0.646054,0.731978,0.00108,4483.855246,0.001015,3762.228814,0.001692,12954.423874,0.010923,3e-06,0.856326,2.315874,0.014678,0.689962,0.780106,0.001153,4595.335971,0.001108,3970.32313,0.001521,10202.568074,0.012448,3e-06,0.834812,2.590364,0.015225,0.652501,0.747068,0.000888,4556.778341,0.000836,3839.151968,0.001332,11376.710159,0.017728,5e-06,0.860874,2.104894,0.014513,0.697922,0.792487,0.001139,4572.836541,0.001096,3972.939278,0.001448,9299.573769,0.025213,6e-06,0.84794,2.436833,0.014091,0.675011,0.766656,0.000926,4585.353156,0.000875,3913.971458,0.001341,10836.450893,0.017128,4e-06,0.861019,2.307978,0.014121,0.698488,0.784262,0.000963,4589.741751,0.000921,3987.074454,0.001321,10159.443584,0.013918,4e-06
8,9,10,0.773474,4.738235,0.013246,0.554908,0.640347,0.001472,5084.536681,0.001352,3760.820674,0.002518,31639.33535,0.004429,1e-06,0.763505,5.200937,0.012781,0.540272,0.620498,0.001831,5039.909958,0.001599,3660.73359,0.003303,35720.322802,0.00542,1e-06,0.793486,3.467048,0.013586,0.585264,0.682608,0.000779,4558.204106,0.000654,3678.069305,0.001795,14612.570686,0.007804,2e-06,0.848394,2.232348,0.014253,0.675631,0.775449,0.001041,4567.221947,0.000985,3902.150528,0.001428,9853.431432,0.020678,5e-06,0.863067,2.113129,0.015002,0.701929,0.794655,0.000728,4544.32441,0.000688,3947.716632,0.001029,9332.405928,0.018046,5e-06,0.85102,2.288237,0.01415,0.680383,0.775454,0.000903,4581.199541,0.00085,3928.990002,0.001292,10141.58803,0.018456,5e-06,0.860194,2.105232,0.014418,0.696581,0.79249,0.001119,4577.71974,0.001056,3969.003193,0.001507,9342.23629,0.017287,4e-06,0.85222,2.169899,0.013601,0.682313,0.781808,0.000992,4588.25154,0.000923,3936.457102,0.00155,9643.364851,0.019206,5e-06,0.867562,2.008839,0.013922,0.710115,0.803344,0.001043,4625.715517,0.000965,4046.679947,0.001477,8993.179874,0.020576,5e-06
9,10,11,0.731303,8.190723,0.013819,0.494707,0.551633,0.002031,4277.762384,0.001728,3033.737062,0.004953,42468.454361,0.003227,1e-06,0.708019,12.819355,0.013296,0.463504,0.499903,0.002037,4202.61357,0.001657,2865.064703,0.006468,69347.883615,0.001453,1e-06,0.791115,3.976193,0.015844,0.581796,0.666728,0.000885,4632.579722,0.000801,3713.599208,0.001811,17155.712533,0.006737,2e-06,0.844376,2.38083,0.014781,0.668679,0.766184,0.00085,4557.422431,0.000777,3878.271475,0.001335,10474.163458,0.012264,3e-06,0.855524,2.184054,0.015448,0.688317,0.783878,0.00085,4516.178481,0.000805,3892.316658,0.00118,9575.502904,0.016172,4e-06,0.837391,2.510059,0.015242,0.656757,0.753417,0.000819,4515.130072,0.00076,3810.984447,0.001281,10937.152783,0.016105,4e-06,0.854373,2.234724,0.015177,0.686419,0.780115,0.000974,4555.367342,0.00093,3927.321386,0.001315,9815.451288,0.013933,4e-06,0.847107,2.315665,0.014056,0.673482,0.770375,0.0009,4572.767855,0.000843,3897.112094,0.001309,10293.932164,0.01351,3e-06,0.853928,2.227876,0.014944,0.685599,0.779834,0.00083,4547.114806,0.000784,3915.441638,0.001178,9782.018181,0.022181,6e-06
