,Num,Dnum,ROICoarseness,ROIContrast,ROIBusyness,ROIComplexity,ROIStrength,LLLCoarseness,LLLContrast,LLLBusyness,LLLComplexity,LLLStrength,LLHCoarseness,LLHContrast,LLHBusyness,LLHComplexity,LLHStrength,LHLCoarseness,LHLContrast,LHLBusyness,LHLComplexity,LHLStrength,LHHCoarseness,LHHContrast,LHHBusyness,LHHComplexity,LHHStrength,HLLCoarseness,HLLContrast,HLLBusyness,HLLComplexity,HLLStrength,HLHCoarseness,HLHContrast,HLHBusyness,HLHComplexity,HLHStrength,HHLCoarseness,HHLContrast,HHLBusyness,HHLComplexity,HHLStrength,HHHCoarseness,HHHContrast,HHHBusyness,HHHComplexity,HHHStrength
0,1,1,0.006614,0.317484,0.017409,29310.614796,35.435599,0.008438,0.362127,0.012303,28264.406028,45.981241,0.006405,0.309745,0.017397,30580.54632,33.59871,0.003032,0.766489,0.044731,66670.772913,12.926108,0.002991,0.655182,0.040147,71638.351234,13.023384,0.002847,0.642595,0.04373,70877.685036,13.346501,0.002868,0.809766,0.046434,73514.220584,11.743861,0.002614,0.786346,0.043428,88897.133355,11.287351,0.002489,0.853431,0.050057,83310.390016,10.14291
1,2,3,0.00068,0.266162,0.1572,29556.620781,3.901359,0.000934,0.197876,0.113955,21968.936742,5.424165,0.000839,0.207703,0.147534,25020.753816,4.596612,0.000309,0.634113,0.37145,76301.379946,1.428098,0.000312,0.572769,0.353575,74193.82152,1.458844,0.00031,0.601994,0.358324,75248.353051,1.452759,0.000311,0.556612,0.350434,73427.808058,1.471133,0.000264,0.766198,0.430358,93239.335692,1.159753,0.000273,0.690402,0.398689,90151.802172,1.192087
2,3,4,0.003264,0.566173,0.041523,52587.308478,16.599572,0.003635,0.483696,0.04132,37622.509474,15.773503,0.002889,0.52953,0.039705,58572.614647,14.547613,0.001931,0.896652,0.060505,98782.316562,8.204969,0.002031,0.740596,0.054494,90915.93628,8.731452,0.001916,0.872265,0.060112,95455.935433,8.244719,0.001859,0.811074,0.064676,89662.704418,7.69451,0.001836,0.950618,0.065962,102750.597232,7.898665,0.001898,0.803842,0.058214,98444.090542,8.363536
3,4,5,0.001183,0.398422,0.097201,43774.860782,6.45013,0.001368,0.312714,0.084573,36026.36078,7.536642,0.00101,0.414407,0.111851,52559.3074,5.282987,0.000578,0.810842,0.19734,102750.666005,2.658574,0.000605,0.765792,0.184962,98714.710382,2.731448,0.000582,0.820076,0.194445,101996.632437,2.644599,0.000579,0.771989,0.192862,102007.153668,2.651269,0.000579,0.893979,0.203168,106669.844212,2.545176,0.000591,0.828603,0.189793,104441.479986,2.59378
4,5,6,0.00045,0.298905,0.220988,37894.47411,2.577077,0.000536,0.251684,0.190514,31440.285495,3.00994,0.000347,0.351739,0.315957,51045.372763,1.866524,0.000216,0.616828,0.492687,91686.929529,1.02356,0.000222,0.635722,0.474368,91591.570406,1.004542,0.000212,0.621894,0.494983,93046.449526,0.997534,0.000211,0.672329,0.507765,96136.871071,0.966025,0.000212,0.699337,0.513934,98257.900767,0.953183,0.000215,0.696995,0.500917,96977.377304,0.956631
5,6,7,0.000813,0.324558,0.154835,36360.853228,4.6498,0.000935,0.293192,0.143002,30174.496368,5.271757,0.000632,0.347962,0.166825,44862.275386,3.505649,0.000352,0.710057,0.31501,96372.511108,1.632701,0.000353,0.733811,0.310614,99030.719993,1.582635,0.000359,0.708079,0.303385,94435.742431,1.635974,0.000349,0.721587,0.30985,98351.0913,1.587266,0.000342,0.828328,0.331466,103621.528026,1.518007,0.00035,0.790003,0.318667,102047.402779,1.534766
6,7,8,0.000249,0.271436,0.425037,33123.669071,1.44706,0.000339,0.193304,0.309913,24316.584218,1.968016,0.000189,0.361733,0.603543,45993.066531,0.975388,0.000111,0.651956,1.018587,84451.21735,0.521757,0.000105,0.660786,1.029124,90612.087312,0.479945,0.000107,0.637281,1.030717,87179.208666,0.504329,0.000105,0.674657,1.042628,91256.23296,0.478058,9.9e-05,0.800322,1.141834,100723.899611,0.435334,0.000101,0.7354,1.090706,97932.46389,0.443748
7,8,9,0.000738,0.452783,0.171714,32295.226548,4.052145,0.000863,0.372999,0.141731,27724.802222,5.015988,0.000455,0.391437,0.250261,48762.91194,2.356918,0.000278,0.519767,0.363399,85020.113096,1.306416,0.000277,0.640046,0.377703,89845.491966,1.224958,0.000264,0.58192,0.390146,89646.723565,1.24065,0.000264,0.675956,0.403862,93290.496301,1.187109,0.000265,0.716617,0.409503,96956.79435,1.152532,0.000272,0.718481,0.397162,95677.498013,1.156686
8,9,10,0.000452,0.401373,0.219497,39948.866857,2.446269,0.000539,0.368793,0.192698,33286.213409,2.820714,0.000413,0.364893,0.283399,46668.159623,2.17236,0.000225,0.694633,0.485642,95682.297935,1.028108,0.000229,0.59644,0.453847,92788.899582,1.063194,0.00022,0.698926,0.496908,97293.539956,1.021437,0.000225,0.661471,0.474127,94958.543225,1.041376,0.000218,0.795882,0.515417,102797.703631,0.966687,0.000222,0.747592,0.494568,100466.570334,0.985248
9,10,11,0.000166,0.262359,0.582733,35972.036416,1.013903,0.000203,0.223704,0.482144,29997.252335,1.22101,0.000119,0.304256,0.847156,50463.071258,0.670352,7.9e-05,0.608691,1.33365,90895.837996,0.36994,8e-05,0.546059,1.281977,89472.4386,0.37393,7.6e-05,0.574322,1.356607,92146.334585,0.366168,7.9e-05,0.589222,1.30105,91150.444664,0.365282,7.6e-05,0.718986,1.440595,99038.550439,0.341918,7.9e-05,0.599125,1.322686,93733.348231,0.358471
10,11,12,0.000671,0.292913,0.147575,41662.715939,3.749567,0.000761,0.262527,0.130453,36612.455416,4.2803,0.00062,0.297759,0.166559,44404.269603,3.355366,0.000354,0.586825,0.29375,88868.750334,1.660698,0.000363,0.574104,0.283398,88050.494059,1.668736,0.000347,0.564588,0.291756,88320.552266,1.666912,0.000354,0.638923,0.297188,91362.612374,1.604565,0.000351,0.665003,0.302635,94029.146809,1.566475,0.000352,0.649095,0.299017,94326.708688,1.563433
11,12,14,0.002894,0.355127,0.041808,37220.303519,14.054084,0.003084,0.325805,0.038063,34910.287316,14.917694,0.003112,0.356129,0.041658,32301.310763,14.648224,0.001261,0.767168,0.090196,96328.824908,5.745869,0.001213,0.786803,0.093549,95537.831169,5.590053,0.0012,0.828335,0.096776,98847.829607,5.443119,0.001144,0.912488,0.106216,102420.7989,5.024578,0.00119,0.97714,0.100639,107210.564765,5.156631,0.001196,0.950053,0.100346,106167.195606,5.166085
12,13,15,0.001737,0.418571,0.05598,37514.83128,9.380388,0.002085,0.415912,0.041358,39176.660394,12.443991,0.001457,0.443089,0.080054,53984.482014,7.417418,0.001006,0.649978,0.108278,85828.504232,4.700763,0.000968,0.666173,0.108597,91739.008686,4.336971,0.000955,0.717668,0.114893,90462.301445,4.318423,0.000938,0.743223,0.115724,96768.09771,4.175183,0.000922,0.82484,0.12113,100520.180492,4.008346,0.000898,0.842203,0.125649,102584.218952,3.936702
13,14,16,0.002246,0.333857,0.044154,36777.351895,13.142984,0.00254,0.290023,0.04083,30246.393527,14.489289,0.001761,0.409002,0.06611,49894.344418,8.947652,0.001046,0.568602,0.098385,88539.328763,5.070744,0.001011,0.745375,0.110648,93386.693481,4.467138,0.000995,0.754482,0.111602,99103.188551,4.582455,0.001014,0.740701,0.105613,98458.265809,4.56145,0.000968,0.766614,0.113924,102685.314998,4.440059,0.001002,0.822722,0.112658,103481.076709,4.368278
14,15,17,0.001708,0.406551,0.045876,38335.585654,11.254069,0.00214,0.394247,0.036648,34207.701867,13.854408,0.001459,0.316817,0.076613,44809.546597,7.799601,0.000827,0.545272,0.123566,87100.413635,4.051078,0.000847,0.544837,0.120395,86572.172906,4.073623,0.000819,0.605062,0.124584,89728.829449,3.894173,0.00081,0.621922,0.129003,93291.367964,3.790833,0.000856,0.554473,0.116888,88604.641308,3.896064,0.000801,0.609767,0.129715,95011.560767,3.720505
15,16,18,0.000493,0.388069,0.229566,47438.138671,2.67008,0.00058,0.328712,0.198748,40059.402163,3.162902,0.00046,0.392107,0.247467,50549.435961,2.369367,0.000275,0.725798,0.409968,93908.554124,1.259208,0.000279,0.6656,0.387287,91846.837704,1.278918,0.000285,0.671522,0.383687,89318.248766,1.304336,0.000279,0.653348,0.380113,91577.321161,1.272039,0.000265,0.817647,0.425355,101160.390853,1.159513,0.000269,0.747636,0.408572,98641.274158,1.181897
16,17,19,0.000929,0.390459,0.129125,42834.59502,4.911044,0.001055,0.35411,0.113185,36811.074587,5.500891,0.000859,0.400844,0.139656,48122.531573,4.493479,0.000475,0.735874,0.231522,96696.088795,2.131273,0.000476,0.718045,0.227709,96884.814074,2.113743,0.000468,0.728954,0.236212,96842.617862,2.139434,0.00047,0.756132,0.235562,98151.769356,2.101531,0.000454,0.81167,0.248641,103037.942495,2.013943,0.00048,0.75212,0.228401,98407.89191,2.072258
17,18,20,0.002744,0.414646,0.042952,37949.120273,13.428317,0.003471,0.383864,0.033604,31245.617723,17.059942,0.002711,0.362604,0.040581,42164.228918,14.188753,0.001497,0.515133,0.067328,82945.692715,7.405595,0.001419,0.634517,0.074068,90306.02699,6.627447,0.001371,0.743714,0.082354,95230.567797,6.291549,0.001426,0.654976,0.073256,92674.252943,6.64298,0.001374,0.777417,0.082676,93579.152023,5.77462,0.001427,0.732105,0.078449,89423.500044,5.89204
18,19,21,0.001642,0.469957,0.056937,45061.745741,9.539722,0.00191,0.43831,0.04701,40454.388703,11.666439,0.001457,0.411213,0.079641,51566.820847,7.660624,0.000911,0.664497,0.120771,88253.666904,4.17844,0.000895,0.681822,0.121165,93909.866158,4.047165,0.000843,0.795324,0.131274,100220.315423,3.845727,0.000841,0.734864,0.132899,95883.066714,3.720926,0.000825,0.760221,0.134261,102014.590345,3.790227,0.000863,0.776085,0.129281,98885.354176,3.736311
19,20,22,0.000429,0.421782,0.203205,41068.619301,2.60442,0.00053,0.296428,0.188231,27947.087296,2.841752,0.000358,0.398118,0.309539,51487.35276,1.868837,0.00022,0.623105,0.488428,90536.365279,1.057497,0.00022,0.557817,0.466091,90106.280218,1.047319,0.000221,0.643205,0.486171,92007.742266,1.033059,0.000219,0.724512,0.497385,96497.537226,0.983101,0.000212,0.770388,0.52521,101649.314089,0.941917,0.000215,0.714149,0.504457,98570.305764,0.96293
20,21,25,0.00049,0.285826,0.196323,37885.503704,2.778343,0.000586,0.249986,0.17705,29338.666996,3.115767,0.000385,0.363573,0.2819,48912.370875,2.097564,0.000247,0.537973,0.41383,83574.983675,1.197608,0.000239,0.613125,0.434071,90839.087023,1.094483,0.00023,0.636684,0.463086,93824.259501,1.083618,0.000232,0.694663,0.46596,96067.920666,1.046299,0.000234,0.70632,0.463751,97086.352842,1.037499,0.000234,0.682822,0.456943,96498.618521,1.038806
21,22,26,0.001208,0.341992,0.090405,42040.607462,6.676524,0.001407,0.294449,0.077293,35987.938336,7.858872,0.000928,0.424473,0.118912,56745.595899,4.833498,0.000606,0.740721,0.181509,96512.6733,2.817409,0.000608,0.776493,0.183425,99317.67938,2.723746,0.000588,0.786895,0.190139,100586.013582,2.710058,0.00062,0.723302,0.174856,96348.137411,2.781559,0.000614,0.792734,0.181557,101623.247427,2.674068,0.000606,0.801531,0.185079,102307.194339,2.647469
22,23,27,0.000734,0.248115,0.156342,21736.422788,3.527119,0.001005,0.228252,0.092624,21961.545135,5.838734,0.000953,0.181777,0.133208,21783.303242,5.301913,0.000321,0.466121,0.334939,66094.758825,1.627553,0.000305,0.510915,0.349722,72484.145077,1.466913,0.000304,0.539281,0.360847,73371.250803,1.458716,0.000297,0.543097,0.358486,75191.909865,1.411202,0.000259,0.629144,0.415859,89238.242321,1.195991,0.000261,0.610596,0.406097,88947.556647,1.191396
