,Num,Dnum,ROISRE,ROILRE,ROIGLN,ROIRLN,ROIRP,ROILGRE,ROIHGRE,ROISRLGE,ROISRHGE,ROILRLGE,ROILRHGE,ROIGLV,ROIRLV,LLLSRE,LLLLRE,LLLGLN,LLLRLN,LLLRP,LLLLGRE,LLLHGRE,LLLSRLGE,LLLSRHGE,LLLLRLGE,LLLLRHGE,LLLGLV,LLLRLV,LLHSRE,LLHLRE,LLHGLN,LLHRLN,LLHRP,LLHLGRE,LLHHGRE,LLHSRLGE,LLHSRHGE,LLHLRLGE,LLHLRHGE,LLHGLV,LLHRLV,LHLSRE,LHLLRE,LHLGLN,LHLRLN,LHLRP,LHLLGRE,LHLHGRE,LHLSRLGE,LHLSRHGE,LHLLRLGE,LHLLRHGE,LHLGLV,LHLRLV,LHHSRE,LHHLRE,LHHGLN,LHHRLN,LHHRP,LHHLGRE,LHHHGRE,LHHSRLGE,LHHSRHGE,LHHLRLGE,LHHLRHGE,LHHGLV,LHHRLV,HLLSRE,HLLLRE,HLLGLN,HLLRLN,HLLRP,HLLLGRE,HLLHGRE,HLLSRLGE,HLLSRHGE,HLLLRLGE,HLLLRHGE,HLLGLV,HLLRLV,HLHSRE,HLHLRE,HLHGLN,HLHRLN,HLHRP,HLHLGRE,HLHHGRE,HLHSRLGE,HLHSRHGE,HLHLRLGE,HLHLRHGE,HLHGLV,HLHRLV,HHLSRE,HHLLRE,HHLGLN,HHLRLN,HHLRP,HHLLGRE,HHLHGRE,HHLSRLGE,HHLSRHGE,HHLLRLGE,HHLLRHGE,HHLGLV,HHLRLV,HHHSRE,HHHLRE,HHHGLN,HHHRLN,HHHRP,HHHLGRE,HHHHGRE,HHHSRLGE,HHHSRHGE,HHHLRLGE,HHHLRHGE,HHHGLV,HHHRLV
0,1,1,0.829043,2.240986,0.108143,0.641719,0.764401,0.023139,84.79157,0.020299,69.093239,0.041928,200.153662,0.02535,0.000338,0.832224,2.234136,0.093916,0.647141,0.765467,0.021628,105.802662,0.019528,85.136214,0.035465,261.998407,0.02855,0.000292,0.820639,2.23637,0.113681,0.627744,0.757797,0.02521,83.864747,0.021808,68.299497,0.046092,192.796266,0.027927,0.000379,0.894478,1.797555,0.10903,0.760768,0.842504,0.022713,78.20913,0.02078,70.163812,0.037037,138.246992,0.017463,0.000243,0.883853,1.776878,0.120666,0.739809,0.833647,0.023559,76.096874,0.021392,67.566937,0.037392,132.49148,0.029754,0.000447,0.88323,1.823238,0.124259,0.738157,0.833562,0.020485,76.909861,0.018423,68.705715,0.034953,133.922732,0.022684,0.000353,0.904619,1.558327,0.111267,0.779797,0.86783,0.022315,78.360629,0.020636,71.295989,0.032066,119.525255,0.028717,0.000399,0.905645,1.68859,0.119511,0.782819,0.859038,0.027458,78.255132,0.025709,71.088098,0.040083,131.059297,0.028893,0.000398,0.913124,1.513097,0.117569,0.797226,0.878452,0.024273,77.704815,0.022831,71.223716,0.032565,116.028545,0.027366,0.000375
1,2,3,0.778149,2.778969,0.111016,0.562107,0.703468,0.025861,81.642251,0.020948,62.256244,0.061092,242.271544,0.012819,0.00019,0.745978,3.412705,0.10822,0.516156,0.656745,0.026379,83.429494,0.021151,60.673477,0.068597,310.379707,0.00951,0.00015,0.789619,2.654371,0.110647,0.579121,0.715839,0.020557,79.208376,0.01648,63.161759,0.050999,202.52313,0.015166,0.000246,0.885011,1.890768,0.115213,0.742037,0.830579,0.022692,78.893392,0.020643,70.193347,0.038284,146.276679,0.012977,0.000185,0.879546,1.777077,0.120447,0.73124,0.831473,0.02254,78.494869,0.020483,69.409748,0.035298,136.86296,0.019934,0.000288,0.879043,1.938444,0.117319,0.730584,0.823176,0.023733,78.307138,0.02163,69.053349,0.040204,150.090276,0.012685,0.000181,0.879978,1.78665,0.121874,0.732192,0.830745,0.022605,78.254481,0.02055,69.25029,0.035534,136.95547,0.01826,0.000265,0.899688,1.754587,0.116093,0.770682,0.850967,0.023101,78.650828,0.021396,71.129267,0.03625,135.72438,0.017064,0.000239,0.896634,1.664488,0.120944,0.764379,0.852958,0.022848,78.216181,0.021165,70.439727,0.033377,128.069817,0.01492,0.000212
2,3,4,0.872026,1.701996,0.101016,0.716553,0.831641,0.023738,79.916407,0.021197,69.842149,0.037216,134.953072,0.042286,0.00058,0.849413,1.88788,0.10767,0.67608,0.801941,0.021004,79.397777,0.018325,67.53116,0.036793,148.329618,0.028398,0.000408,0.881507,1.638041,0.112589,0.734224,0.843953,0.022719,81.798079,0.020529,72.080318,0.034017,134.303608,0.037031,0.000493,0.91369,1.484326,0.113944,0.798507,0.879861,0.023565,78.61107,0.022124,72.129251,0.031666,115.031753,0.038163,0.000527,0.910681,1.470394,0.123118,0.791934,0.879193,0.022067,79.813264,0.020672,73.078747,0.029293,115.093654,0.03834,0.000522,0.910899,1.514299,0.117579,0.792763,0.87541,0.022373,80.667426,0.020914,73.890424,0.03063,119.916973,0.036724,0.000497,0.916985,1.436502,0.122016,0.805124,0.886652,0.02247,76.545206,0.02112,70.472221,0.029426,108.417477,0.040796,0.000572,0.91402,1.484325,0.112609,0.799296,0.879899,0.024281,76.478987,0.022714,70.216833,0.033004,111.97805,0.031949,0.000442,0.910514,1.46597,0.120242,0.791541,0.879395,0.022267,79.224908,0.020847,72.387788,0.029505,114.767734,0.045213,0.000611
3,4,5,0.839332,2.007923,0.107039,0.658792,0.786492,0.02054,83.718611,0.017751,69.756561,0.037857,171.329481,0.024189,0.000323,0.816599,2.239538,0.110357,0.621221,0.756869,0.021982,79.4319,0.018657,64.296905,0.043827,182.294761,0.017532,0.000257,0.864967,1.779137,0.114377,0.703769,0.820535,0.022635,78.241745,0.020176,67.801249,0.036269,138.388967,0.029081,0.000412,0.911415,1.520677,0.114429,0.793939,0.875359,0.022204,77.813509,0.020712,71.144507,0.030872,116.970612,0.024804,0.000342,0.914084,1.447364,0.117332,0.798906,0.883819,0.02238,78.146692,0.021009,71.692679,0.029407,111.615478,0.033422,0.000461,0.909474,1.547145,0.1157,0.7901,0.871643,0.022186,78.10066,0.020692,71.268591,0.031179,119.357137,0.017477,0.000243,0.91509,1.44338,0.118363,0.801043,0.884831,0.022548,78.09239,0.021164,71.800233,0.029634,110.854916,0.036699,0.000506,0.908129,1.54124,0.11212,0.787295,0.87076,0.022991,77.958418,0.021403,71.073292,0.032256,118.629338,0.022506,0.000314,0.911076,1.471038,0.115074,0.792855,0.879134,0.021186,79.363097,0.019771,72.562749,0.028545,115.23738,0.043301,0.000584
4,5,6,0.793586,2.594009,0.117839,0.585094,0.721003,0.028872,77.786342,0.025259,59.746919,0.053415,222.405099,0.016345,0.000255,0.771915,2.943936,0.117352,0.552708,0.69056,0.029573,75.550924,0.02542,55.998185,0.060463,249.110401,0.012282,0.000209,0.842584,2.012033,0.12459,0.664456,0.787674,0.020902,77.396466,0.018157,65.814093,0.037918,151.183925,0.024292,0.000376,0.895125,1.659144,0.125951,0.761449,0.851294,0.02102,77.914032,0.019354,70.094251,0.031399,126.858664,0.02176,0.00031,0.898809,1.566832,0.127723,0.768323,0.861271,0.022146,78.123074,0.020566,70.572559,0.030804,120.191911,0.037452,0.000528,0.891859,1.713495,0.127596,0.75525,0.844774,0.022012,77.517296,0.02027,69.482463,0.033276,130.489458,0.015401,0.000223,0.900465,1.563054,0.125532,0.771698,0.862736,0.021757,77.703003,0.020185,70.337899,0.030464,119.158819,0.031406,0.000446,0.892099,1.672492,0.122267,0.755435,0.848137,0.021928,77.516254,0.020146,69.481577,0.03281,127.506752,0.019938,0.000286,0.897412,1.573155,0.123652,0.765493,0.859813,0.021905,77.965152,0.020274,70.281879,0.030817,120.667685,0.030933,0.000438
5,6,7,0.800993,2.512396,0.109581,0.596501,0.729756,0.023791,73.884176,0.019731,58.531115,0.052559,193.90413,0.015136,0.000261,0.782901,2.791326,0.108818,0.568876,0.704278,0.023852,72.932659,0.019204,56.529315,0.059529,211.398206,0.010973,0.0002,0.836229,2.053567,0.121777,0.653599,0.780917,0.025449,80.159496,0.022267,67.139218,0.044635,163.193797,0.021525,0.000305,0.902502,1.588628,0.120347,0.775903,0.862824,0.021401,77.960885,0.019811,70.695613,0.030921,121.510764,0.026569,0.000375,0.909025,1.490863,0.120142,0.788728,0.875778,0.022048,78.177063,0.02062,71.350014,0.029599,114.879377,0.036534,0.000506,0.898563,1.64483,0.123543,0.768378,0.854904,0.022699,77.812365,0.021036,70.293261,0.033258,125.241586,0.022307,0.000321,0.907366,1.507133,0.122006,0.785404,0.873084,0.022478,78.152041,0.021001,71.179541,0.030346,116.297164,0.031684,0.00044,0.900054,1.596098,0.115272,0.770969,0.860217,0.022507,78.490188,0.02079,70.979689,0.032574,123.170047,0.025753,0.000358,0.904485,1.512071,0.117452,0.779423,0.870623,0.022199,78.683046,0.020655,71.490148,0.030319,117.020942,0.035466,0.000491
6,7,8,0.782625,2.674948,0.112487,0.568712,0.710585,0.027742,76.205612,0.022489,58.178433,0.063978,221.301345,0.013644,0.000219,0.748169,3.299342,0.112797,0.519126,0.661196,0.02753,75.436681,0.022295,54.412537,0.068793,278.069631,0.011621,0.000204,0.847424,1.939083,0.116333,0.672721,0.796763,0.022438,78.721604,0.019637,67.046503,0.038881,149.906735,0.017996,0.000267,0.89173,1.671366,0.118688,0.754576,0.848356,0.022378,78.153487,0.020542,70.057343,0.033606,128.036172,0.013942,0.0002,0.899912,1.557878,0.122955,0.770418,0.863193,0.021577,78.04848,0.019979,70.56606,0.030277,119.528485,0.025372,0.000359,0.890657,1.707333,0.121819,0.752704,0.844635,0.021876,77.828664,0.020045,69.685646,0.033545,130.306111,0.019599,0.000283,0.900712,1.552676,0.121919,0.77202,0.864205,0.022225,78.174479,0.020628,70.720846,0.030912,119.414851,0.023856,0.000337,0.901001,1.597669,0.116444,0.772869,0.861067,0.022496,78.353088,0.020832,70.903546,0.032457,123.16281,0.012434,0.000175,0.901385,1.542134,0.121098,0.773277,0.86574,0.022146,78.01629,0.020549,70.627929,0.030717,118.382547,0.026775,0.000377
7,8,9,0.783279,2.909685,0.092632,0.569456,0.69872,0.02077,88.443489,0.017118,66.018928,0.047579,320.935381,0.012979,0.000197,0.758057,3.36436,0.09433,0.532692,0.664121,0.018351,93.110352,0.014592,67.157233,0.048885,394.608241,0.010783,0.000165,0.845876,2.035577,0.115155,0.670295,0.788171,0.022857,78.781979,0.020035,67.099611,0.04067,156.314835,0.019409,0.000289,0.879383,1.852819,0.135454,0.731496,0.825213,0.022141,76.29486,0.020215,67.453037,0.035538,138.218422,0.018028,0.00027,0.894022,1.630447,0.127648,0.759147,0.852189,0.022444,78.145605,0.020794,70.262854,0.032001,124.811634,0.031221,0.000447,0.888228,1.760484,0.132306,0.748241,0.838818,0.021103,77.660917,0.019339,69.393507,0.032939,133.813783,0.017717,0.000258,0.899188,1.57959,0.125463,0.769172,0.860597,0.022678,77.789817,0.021064,70.305982,0.031713,120.555898,0.029041,0.000415,0.890586,1.69355,0.1224,0.752471,0.845688,0.021829,78.1239,0.020051,69.907128,0.032914,130.040138,0.020794,0.000299,0.893396,1.618647,0.122314,0.757805,0.852709,0.022617,77.98645,0.020893,70.078715,0.032294,123.732354,0.029934,0.000428
8,9,10,0.815144,2.354714,0.1124,0.618912,0.747574,0.024095,88.413755,0.021476,69.271185,0.041003,236.73754,0.020474,0.000262,0.802704,2.5307,0.10851,0.599169,0.729711,0.024584,88.427971,0.021723,67.863756,0.043751,258.831893,0.017091,0.000226,0.836657,2.092694,0.116654,0.654416,0.778008,0.021968,77.040691,0.018929,65.172669,0.041458,155.237676,0.023504,0.00037,0.90009,1.627489,0.123177,0.771307,0.857632,0.022237,77.826243,0.020615,70.415996,0.032339,124.275656,0.020323,0.000291,0.89818,1.572714,0.129411,0.767063,0.860389,0.020711,77.444541,0.019147,69.819257,0.029334,120.220623,0.034865,0.000495,0.898933,1.641143,0.12186,0.768981,0.855858,0.021414,77.940094,0.019777,70.397914,0.031654,125.662234,0.022319,0.000318,0.900674,1.564001,0.124592,0.772128,0.862836,0.021876,77.941699,0.020293,70.521729,0.030617,119.942922,0.029331,0.000414,0.897689,1.623541,0.116941,0.766369,0.856115,0.022682,77.986546,0.020945,70.283683,0.033079,124.834753,0.02574,0.000362,0.901275,1.544664,0.119641,0.773159,0.865129,0.021573,78.604448,0.019992,71.165758,0.030114,119.396683,0.028522,0.000398
9,10,11,0.766654,3.105452,0.121758,0.544907,0.679379,0.030543,75.32238,0.025868,56.032091,0.065732,257.746509,0.009626,0.000167,0.739677,3.663701,0.11791,0.507151,0.642454,0.030342,74.850532,0.025167,53.165325,0.073233,311.329736,0.007501,0.000143,0.828311,2.219859,0.138609,0.640482,0.764264,0.020463,78.499841,0.017657,65.66205,0.039673,168.144541,0.020278,0.000326,0.891579,1.690479,0.1277,0.754503,0.846368,0.021262,77.615391,0.019539,69.541146,0.032074,128.839889,0.01802,0.00026,0.892475,1.617181,0.133852,0.755893,0.852356,0.020801,77.066437,0.019152,69.097539,0.030092,122.617698,0.032559,0.000471,0.889659,1.737001,0.131255,0.750927,0.841676,0.020801,76.980142,0.019058,68.807164,0.032347,131.335278,0.015672,0.000229,0.891884,1.635776,0.131855,0.754888,0.850234,0.021331,77.554266,0.019656,69.520994,0.030972,124.580865,0.028012,0.000405,0.889985,1.685109,0.120998,0.751293,0.845518,0.021707,77.937998,0.019894,69.667056,0.032821,129.229848,0.021859,0.000311,0.888366,1.642235,0.129454,0.747868,0.84735,0.02075,77.457022,0.018997,69.147719,0.030604,125.069525,0.031393,0.000452
