,Num,Dnum,ROISZE,ROILZE,ROIszGLN,ROIZSN,ROIZP,ROILGZE,ROIHGZE,ROISZLGE,ROISZHGE,ROILZLGE,ROILZHGE,ROIszGLV,ROIZLV,LLLSZE,LLLLZE,LLLszGLN,LLLZSN,LLLZP,LLLLGZE,LLLHGZE,LLLSZLGE,LLLSZHGE,LLLLZLGE,LLLLZHGE,LLLszGLV,LLLZLV,LLHSZE,LLHLZE,LLHszGLN,LLHZSN,LLHZP,LLHLGZE,LLHHGZE,LLHSZLGE,LLHSZHGE,LLHLZLGE,LLHLZHGE,LLHszGLV,LLHZLV,LHLSZE,LHLLZE,LHLzGLN,LHLZSN,LHLZP,LHLLGZE,LHLHGZE,LHLSZLGE,LHLSZHGE,LHLLZLGE,LHLLZHGE,LHLszGLV,LHLZLV,LHHSZE,LHHLZE,LHHszGLN,LHHZSN,LHHZP,LHHLGZE,LHHHGZE,LHHSZLGE,LHHSZHGE,LHHLZLGE,LHHLZHGE,LHHszGLV,LHHZLV,HLLSZE,HLLLZE,HLLszGLN,HLLZSN,HLLZP,HLLLGZE,HLLHGZE,HLLSZLGE,HLLSZHGE,HLLLZLGE,HLLLZHGE,HLLszGLV,HLLZLV,HLHSZE,HLHLZE,HLHszGLN,HLHZSN,HLHZP,HLHLGZE,HLHHGZE,HLHSZLGE,HLHSZHGE,HLHLZLGE,HLHLZHGE,HLHzGLV,HLHZLV,HHLSZE,HHLLZE,HHLszGLN,HHLZSN,HHLZP,HHLLGZE,HHLHGZE,HHLSZLGE,HHLSZHGE,HHLLZLGE,HHLLZHGE,HHLszGLV,HHLZLV,HHHSZE,HHHLZE,HHHszGLN,HHHZSN,HHHZP,HHHLGZE,HHHHGZE,HHHSZLGE,HHHSZHGE,HHHLZLGE,HHHLZHGE,HHHzGLV,HHHZLV
0,1,1,0.53846,281.075893,0.047742,0.277802,0.1792,0.017655,248.15625,0.012803,122.313785,0.919989,101883.002232,0.000636,0.000123,0.517026,264.652074,0.045499,0.261919,0.173948,0.023646,270.064516,0.019039,120.613829,0.608329,142058.451613,0.000769,0.000147,0.523403,338.541284,0.043189,0.261994,0.175806,0.014453,299.568807,0.006359,163.247364,1.126969,121595.626147,0.00057,0.000125,0.546086,55.77983,0.045858,0.283385,0.282164,0.011675,299.559659,0.00764,162.243241,0.254667,16364.492898,0.001358,3.7e-05,0.608459,84.44189,0.045532,0.34664,0.315217,0.010119,303.425287,0.007148,186.717011,0.360244,22415.777778,0.001083,3.3e-05,0.535352,61.354103,0.045436,0.274392,0.26543,0.007805,332.978723,0.003938,189.316841,0.296892,14837.212766,0.001989,5.5e-05,0.629959,27.084764,0.044427,0.368235,0.373248,0.010863,310.559013,0.008701,200.053704,0.124543,7238.082618,0.001744,2.1e-05,0.571967,54.403226,0.044976,0.312483,0.325131,0.014204,305.115385,0.009267,174.706114,0.245041,15401.19727,0.001425,3.5e-05,0.662101,22.49802,0.04567,0.405594,0.407422,0.013354,303.461386,0.011525,202.346255,0.099415,6355.269307,0.002576,2.4e-05
1,2,3,0.494283,4992.077289,0.049856,0.236254,0.097734,0.015942,254.76417,0.009153,120.33766,14.775535,1963799.177566,5.8e-05,4e-05,0.409333,11000.602027,0.046926,0.171573,0.057367,0.022942,247.92027,0.011099,92.988626,32.399705,4355859.930405,3.5e-05,0.000132,0.484692,4568.914569,0.043204,0.22673,0.101526,0.009179,329.359268,0.004376,160.949525,19.837078,1156917.434783,7e-05,3.7e-05,0.521679,159.65985,0.043972,0.264035,0.248883,0.010586,316.774899,0.006704,169.089791,0.655543,44075.681705,0.00026,4e-06,0.606062,346.723303,0.042907,0.343062,0.295011,0.01115,316.723568,0.00799,197.139858,1.322847,94215.191875,0.000133,2e-06,0.514337,211.135444,0.044051,0.257414,0.238518,0.012351,304.893114,0.007731,156.462769,0.865775,56904.240862,0.000133,3e-06,0.606697,540.048165,0.043067,0.344121,0.292282,0.011757,316.410807,0.008878,196.263123,2.007208,149131.082188,0.000101,2e-06,0.561558,83.561633,0.04394,0.298649,0.291696,0.010897,312.651281,0.00704,178.463136,0.350682,23364.517609,0.000331,4e-06,0.654175,245.378622,0.043328,0.396831,0.346405,0.011623,310.885444,0.00919,206.496878,0.913898,68225.776638,0.000165,2e-06
2,3,4,0.562854,46.818575,0.043945,0.297867,0.286687,0.009827,310.309935,0.005582,179.1154,0.230829,13546.855292,0.001608,2.9e-05,0.537467,97.440725,0.045224,0.271511,0.222464,0.008502,318.377964,0.005387,176.902336,0.44194,27590.846583,0.001188,4.8e-05,0.622388,60.558006,0.045283,0.359716,0.32472,0.011897,308.946309,0.008233,192.590006,0.235816,20006.456376,0.001224,2.3e-05,0.655907,17.81675,0.045223,0.399639,0.434391,0.010546,311.772369,0.008257,209.808183,0.082064,4874.525412,0.002655,2e-05,0.709383,21.889437,0.046602,0.465497,0.444723,0.011026,316.688028,0.009338,228.796269,0.092462,6153.411972,0.002571,1.8e-05,0.662718,21.578631,0.045256,0.406281,0.414794,0.010399,314.559067,0.007515,207.494365,0.09671,6130.629044,0.002566,2.2e-05,0.718232,22.294479,0.046913,0.47722,0.459875,0.010293,304.537832,0.00887,222.097946,0.098337,5864.475801,0.002789,1.9e-05,0.68586,18.770468,0.045894,0.434713,0.4275,0.012958,302.598684,0.010867,211.309584,0.091726,5110.233918,0.003259,2.2e-05,0.70514,24.350789,0.045357,0.459698,0.436034,0.010305,313.827116,0.008705,227.031804,0.098546,7040.611191,0.00258,2e-05
3,4,5,0.571919,310.381327,0.046416,0.304699,0.194068,0.010305,301.899263,0.007181,168.169732,1.293391,104805.659951,0.000435,2e-05,0.55878,793.287958,0.047578,0.293383,0.145635,0.011821,272.322644,0.007758,145.146029,3.104342,259214.197644,0.000244,3.7e-05,0.599543,199.999641,0.043879,0.334963,0.26666,0.011905,309.100753,0.008743,189.737528,0.736374,61732.004661,0.00038,9e-06,0.654506,36.421916,0.046072,0.396972,0.402776,0.009527,304.129784,0.007104,201.169176,0.15327,10076.301165,0.000676,5e-06,0.703472,27.876913,0.044589,0.457463,0.438417,0.009839,309.903367,0.008196,223.54263,0.115413,7720.843244,0.001204,7e-06,0.661775,37.576876,0.045181,0.405395,0.391896,0.009352,307.727939,0.006893,206.803627,0.157436,10379.426057,0.001129,8e-06,0.68946,28.893939,0.04549,0.439412,0.436583,0.010598,309.352657,0.00886,217.414262,0.122062,7845.036232,0.000929,6e-06,0.649815,34.336795,0.045142,0.391549,0.38669,0.00999,309.756429,0.007395,206.41818,0.149154,9362.233185,0.001116,8e-06,0.695872,37.066547,0.044713,0.447663,0.427654,0.009564,314.303607,0.007925,223.475551,0.146143,10487.664127,0.001219,8e-06
4,5,6,0.576728,6462.125554,0.045273,0.31291,0.136172,0.028069,226.064993,0.019576,126.893414,18.152737,2404499.26711,3.5e-05,2e-05,0.553158,9321.62394,0.047782,0.290208,0.106644,0.026641,203.158027,0.016774,108.318503,27.159535,3373492.598178,2.8e-05,3.5e-05,0.626813,2185.773027,0.042401,0.36445,0.219764,0.010326,326.248276,0.007517,210.549317,8.382299,589329.616092,7.6e-05,6e-06,0.64779,266.554396,0.046485,0.388988,0.339369,0.009173,312.031396,0.006949,206.838787,1.03386,71096.595827,0.000182,2e-06,0.706126,495.834804,0.045635,0.460957,0.381369,0.011495,311.812301,0.009831,223.793039,1.865321,134432.388281,0.000121,2e-06,0.657326,695.030752,0.046551,0.399901,0.328887,0.010908,308.746526,0.008585,205.941689,2.546828,193577.872803,8.8e-05,2e-06,0.70668,557.550647,0.045708,0.461738,0.385033,0.010315,311.292775,0.008685,224.051151,2.106291,150495.352869,0.000124,2e-06,0.654204,534.225918,0.046078,0.396531,0.331741,0.010488,308.020178,0.008071,204.642002,2.041618,143337.282296,0.000101,2e-06,0.701257,448.230755,0.04527,0.454552,0.372259,0.011085,312.226419,0.009231,223.03956,1.669383,123080.000452,0.000128,2e-06
5,6,7,0.559342,2404.501612,0.046967,0.29293,0.137912,0.011066,271.101128,0.007186,151.032055,10.395048,675872.533441,8.5e-05,2.6e-05,0.52441,3478.355069,0.046454,0.261276,0.109049,0.01,268.526235,0.005286,139.768133,16.063554,919487.614366,7.1e-05,4.5e-05,0.597522,1535.995536,0.04275,0.334404,0.201303,0.015627,309.450056,0.010672,186.756303,5.483885,457266.460937,0.000106,1.1e-05,0.655814,85.880384,0.045601,0.398016,0.368743,0.009563,311.96028,0.007506,208.347128,0.3529,22376.311064,0.0004,3e-06,0.70535,79.722006,0.045212,0.459926,0.417546,0.00953,311.301519,0.007917,224.470513,0.309318,21764.047049,0.000639,4e-06,0.645373,82.948615,0.044808,0.386586,0.351231,0.01088,314.467584,0.007847,208.534754,0.333208,22649.97999,0.000642,5e-06,0.69407,95.048189,0.04597,0.445597,0.412419,0.010774,309.241084,0.008762,220.431552,0.35343,27247.894773,0.00045,3e-06,0.650716,63.760916,0.04485,0.392564,0.366577,0.009504,313.503053,0.007067,209.789667,0.257967,17658.370687,0.000853,6e-06,0.695938,114.440478,0.044713,0.447723,0.403328,0.010656,313.86262,0.008968,223.173302,0.43884,31290.228365,0.000306,2e-06
6,7,8,0.544987,11187.617801,0.047877,0.279998,0.110121,0.014123,239.674685,0.007492,130.853178,33.244514,4201349.302108,2.3e-05,1.2e-05,0.503449,24241.982896,0.049169,0.241886,0.070365,0.020295,214.72701,0.010169,105.182738,71.851804,8833341.682808,1.5e-05,3.5e-05,0.581495,2043.192757,0.042721,0.316488,0.221757,0.011642,317.472802,0.007768,186.00759,7.740413,556537.307491,3.9e-05,2e-06,0.628569,358.194863,0.044487,0.367261,0.328809,0.010835,312.668245,0.008078,199.705277,1.408981,94124.683838,9.5e-05,1e-06,0.683394,289.849344,0.044969,0.432153,0.379047,0.009795,311.172303,0.007866,216.45101,1.092971,78713.277256,9.1e-05,1e-06,0.628095,573.846233,0.045445,0.366549,0.322773,0.009603,312.302456,0.006697,200.877631,2.167825,155186.302651,6.1e-05,1e-06,0.671825,309.832679,0.04468,0.417853,0.377058,0.010854,311.510779,0.008819,213.209279,1.155166,85073.363427,9.1e-05,1e-06,0.653095,114.633624,0.044451,0.394999,0.359963,0.01011,311.033057,0.007556,206.594157,0.449446,31308.38164,0.000209,1e-06,0.6881,188.596295,0.044721,0.437908,0.381491,0.010576,311.336125,0.008624,218.228907,0.723474,51181.456597,0.000218,1e-06
7,8,9,0.538672,3235.084034,0.047256,0.275979,0.12377,0.009251,273.838074,0.005038,144.524495,10.487387,1606950.674208,7.5e-05,2.5e-05,0.502876,5726.274336,0.050013,0.242376,0.090407,0.007888,280.268142,0.003911,139.732259,18.653795,2774899.213717,7.2e-05,5.8e-05,0.596007,821.632273,0.042072,0.331001,0.238445,0.011766,320.100474,0.008118,193.809661,3.355289,211535.598613,0.000112,4e-06,0.641307,966.612395,0.047081,0.38161,0.304411,0.011628,303.518499,0.009121,198.344421,3.728077,254624.159209,8.9e-05,3e-06,0.704691,626.558659,0.044815,0.459144,0.37667,0.011287,313.862627,0.009624,226.387874,2.300185,173509.736791,0.000123,2e-06,0.64081,500.948454,0.046292,0.381076,0.315961,0.010098,311.973582,0.007865,203.93824,1.899098,134790.041108,0.000116,2e-06,0.696718,450.394885,0.044947,0.449104,0.382287,0.011363,313.558103,0.009352,225.171499,1.717219,120877.875942,0.000142,2e-06,0.649335,420.368879,0.044753,0.391292,0.340128,0.009955,310.797093,0.007683,205.211732,1.550116,117025.774931,0.000132,2e-06,0.699668,681.601703,0.044094,0.452552,0.37093,0.010868,313.316956,0.008984,224.003984,2.548214,185730.551479,0.000116,2e-06
8,9,10,0.605813,3528.34461,0.046173,0.342161,0.174372,0.019081,245.150397,0.013875,142.482066,8.065511,1629364.507438,6.1e-05,1.3e-05,0.585296,3524.177215,0.046418,0.319379,0.151234,0.022064,231.665495,0.015458,128.581428,7.955125,1668283.568917,5.8e-05,1.6e-05,0.598738,1817.766806,0.041909,0.334876,0.212694,0.010175,323.464387,0.006888,196.851366,7.153809,481987.91226,6.8e-05,5e-06,0.650242,112.946276,0.045767,0.392255,0.35779,0.010767,311.743595,0.008234,208.460959,0.447005,30317.908739,0.000244,2e-06,0.698884,194.014051,0.047147,0.451506,0.377837,0.009492,307.685119,0.007837,219.512033,0.71197,54364.35977,0.000211,2e-06,0.656388,207.972929,0.04581,0.399001,0.350759,0.009553,310.617662,0.007309,208.22344,0.790128,56718.975261,0.000193,2e-06,0.697414,336.235105,0.046134,0.449579,0.387115,0.010431,309.342221,0.008441,219.988814,1.252658,92736.299926,0.000164,2e-06,0.644842,137.142857,0.045063,0.385628,0.352083,0.010193,309.773139,0.007318,203.319117,0.549936,36397.206036,0.000203,2e-06,0.696363,242.362412,0.045124,0.448442,0.385003,0.010127,314.651789,0.008271,223.489164,0.915499,66372.508207,0.000188,2e-06
9,10,11,0.592962,30013.212863,0.042504,0.328243,0.114621,0.026287,235.074804,0.017105,141.536309,90.959664,10366405.363424,1.2e-05,1.3e-05,0.554925,41720.030981,0.043279,0.289504,0.084579,0.02828,223.846242,0.016917,125.399795,124.068652,14741940.154905,9e-06,2.5e-05,0.635979,13647.774054,0.043752,0.375064,0.20361,0.011334,324.915195,0.00835,208.446662,52.638235,3605055.538679,1.8e-05,3e-06,0.657626,1307.765851,0.046224,0.40055,0.329876,0.009928,310.422258,0.007725,207.997635,4.96484,347918.80221,3.4e-05,1e-06,0.704007,2288.045729,0.04761,0.458269,0.35548,0.009726,307.699945,0.008102,221.225118,8.315765,635168.459215,3.5e-05,1e-06,0.646316,2359.751661,0.047698,0.38714,0.310568,0.009959,307.24417,0.007665,201.660655,8.822264,636058.427504,2.8e-05,1e-06,0.706483,3393.620524,0.047064,0.461463,0.352642,0.010712,310.115814,0.009011,223.026216,12.827958,908773.251264,3.1e-05,1e-06,0.653115,998.62481,0.045412,0.395215,0.320931,0.010389,310.663217,0.007906,205.064411,3.921845,259719.053344,4.5e-05,1e-06,0.695549,2636.114993,0.046873,0.447271,0.340197,0.010185,310.285817,0.008382,220.407424,9.941,709140.211209,3.6e-05,1e-06
